etymID,initial forms,result, gold
75,#ˈɑrt̪em#,#ar̥#,#aʁ#
76,#ˌɑrt̪ˈikulum#,#ar̥t̪ɛj#,#ɔʁt̪ɛj#
77,#ˈɑsin̪um#,#jaʀn̪#,#an̪#
78,#ɑt̪ˈɑwiɑm#,#ɛjɛː#,#t̪ɛ#
79,#ˌɑwˈeːn̪ɑm#,#avɛn̪#,#avwan̪#
80,#ˌɑwɡˈurium#,#əwaʀ#,#œʁ#
81,#ˌɑwɡust̪od̪ˈuːn̪um#,#əwœ̃ː#,#ot̪œ̃#
82,#ˌɑwɡˈust̪um#,#uː#,#ut̪#
83,#ˌɑwikˈelloːs#,#oːzʲoː#,#wazo#
84,#ˌɑwikˈellum#,#oːzʲoːw#,#wazo#
85,#ˌɑwiˈoːlɑm#,#ɛjøw#,#ajœl#
86,#ˌɑwiˈoːlum#,#ɛjuw#,#ajœl#
87,#ˌɑwrˈikulɑm#,#əwʀwaj#,#ɔʁɛj#
88,#ˈɑwrum#,#uʀ#,#ɔʁ#
89,#ˌɑwsˈɑːre#,#əwzjaʀ#,#oze#
90,#ˌɑwskˌult̪ˈɑːre#,#ɛːsuwt̪jaʀ#,#ekut̪e#
91,#ˈɑwt̪#,#u#,#u#
92,#ˌɑwˈun̪kulum#,#œ̃ː#,#ɔ̃kl#
93,#bˈɑd̪iɑm#,#bjɛː#,#bɛ#
94,#bˈɑd̪ium#,#bu#,#bɛ#
95,#bˈɑkɑm#,#biwj#,#bɛ#
96,#bˈɑkkum#,#bak#,#bak#
97,#bˈɑln̪eoːs#,#bajjn̪#,#bɛ̃#
98,#bˈɑln̪eum#,#boːn̪#,#bɛ̃#
99,#bˈɑlsɑmum#,#boːm#,#bom#
100,#bˈɑrbɑm#,#baʀb#,#baʁb#
101,#bˈɑrɡɑm#,#baʀ#,#baʁʒ#
102,#bˈɑrrɑm#,#bɑːʀ#,#baʁ#
103,#bˈɑssɑm#,#bɑːs#,#bɑs#
104,#bˈɑssum#,#ba#,#bɑ#
105,#bˌɑst̪ˈiːre#,#bɑːt̪iʀ#,#bɑt̪iʁ#
106,#bˌɑst̪ˈoːn̪em#,#basœ̃ː#,#bɑt̪ɔ̃#
107,#bˌɑt̪t̪uˈɑːliɑ#,#bat̪jɛj#,#bat̪ɑj#
108,#bˈɑt̪t̪uere#,#bat̪ʀ#,#bat̪ʁ#
109,#bˈɑwɑm#,#bjɛv#,#bu#
110,#bˈekkum#,#bɛk#,#bɛk#
111,#bˈellɑm#,#boːw#,#bɛl#
112,#bˈellɑːs#,#boːw#,#bɛl#
113,#bˌellit̪ˈɑːt̪em#,#bie̯wt̪jɛ#,#bot̪e#
114,#bˈelloːs#,#boː#,#bo#
115,#bˈellum#,#boːw#,#bo#
116,#bˈen̪e#,#bjɛ̃ː#,#bjɛ̃#
117,#bˌen̪ed̪ˈikt̪um#,#ban̪wa#,#bən̪wa#
118,#bˈen̪n̪ɑm#,#bɑ̃n̪#,#ban̪#
119,#bˌerbˈiːkem#,#baʀbi#,#bʁəbi#
120,#bˈerulɑm#,#bjaʀw#,#bɛʁl#
121,#bˈest̪iɑ#,#biwj#,#bis#
122,#bˈiːlium#,#biː#,#bij#
123,#blˈɑn̪kɑm#,#bwɑ̃ː#,#blɑ̃ʃ#
124,#blˈɑn̪koːs#,#bwɑ̃ː#,#blɑ̃#
125,#blˈɑn̪kum#,#bwɑ̃ː#,#blɑ̃#
126,#bˌombit̪ˈiːre#,#bœ̃ːt̪iʀ#,#bɔ̃d̪iʁ#
127,#bˌon̪it̪ˈɑːt̪em#,#bœ̃ːt̪jɛ#,#bɔ̃t̪e#
128,#bˌon̪ˈoːn̪iɑm#,#byn̪œ̃ːjn̪#,#bulɔɲ#
129,#bˌon̪um#,#bœ̃ː#,#bɔ̃#
130,#bˌot̪ˈelloːs#,#buoː#,#bwajo#
131,#bˌot̪ˈellum#,#buoːw#,#bwajo#
132,#bˈowem#,#bye̯#,#bœf#
133,#bˈowes#,#bye̯#,#bø#
134,#brˈɑːkɑm#,#bʀiwj#,#bʁɛ#
135,#brˈɑkʰiɑm#,#bʀa#,#bʁas#
136,#brˈɑkʰium#,#bʀa#,#bʁɑ#
137,#brˈɑn̪d̪um#,#bʀɑ̃ː#,#bʁɑ̃#
138,#brˈɑn̪kɑm#,#bʀɑ̃ː#,#bʁɑ̃ʃ#
139,#brˈɑsɑm#,#bʀjɛz#,#bʁɛz#
140,#brˈen̪n̪um#,#bʀɑ̃ː#,#bʁɑ̃#
141,#brˈewem#,#bʀjɛf#,#bʁɛf#
142,#brˈiːn̪um#,#bʀɛ̃ː#,#bʁɛ̃#
143,#brˌit̪tˈɑn̪iɑm#,#bʀatjɛ̃ː#,#bʁət̪aɲ#
144,#brˈoɡilum#,#bʀye̯w#,#bʁœj#
145,#brˌuːkˈɑriɑm#,#bʀyiwjʀ#,#bʁɥijɛʁ#
146,#bˈukkɑm#,#buk#,#buʃ#
147,#bˈuksit̪ɑm#,#bwɛː#,#bwat̪#
148,#bˈulɡɑm#,#buw#,#buʒ#
149,#bˌulliˈen̪t̪em#,#buwjɑ̃ː#,#bujɑ̃#
150,#bˈun̪d̪ɑm#,#bœ̃ːd̪#,#bɔ̃d̪#
151,#bˈurɡum#,#buʀ#,#buʁ#
152,#bˌurriˈoːn̪em#,#buʀjʀœ̃ː#,#buʁʒɔ̃#
153,#bˈut̪in̪ɑm#,#buʀn̪#,#bɔʁn̪#
154,#d̪ˈɑːmum#,#d̪jɛ̃ː#,#d̪ɛ̃#
155,#d̪ˈɑrd̪um#,#d̪aʀ#,#d̪aʁ#
156,#d̪ˈeːbit̪ɑ#,#d̪ɛt̪#,#d̪ɛt̪#
157,#d̪ˌeˈin̪t̪us#,#d̪ɑ̃ː#,#d̪ɑ̃#
158,#d̪ˌelfˈiːn̪um#,#d̪oːfɛ̃ː#,#d̪ofɛ̃#
159,#d̪ˌekˈɑːn̪um#,#d̪ajjɛ̃ː#,#d̪wajɛ̃#
160,#d̪ˈekimum#,#d̪jɛsm#,#d̪im#
161,#d̪ˌemˈɑːn̪e#,#d̪amjɛ̃ː#,#d̪əmɛ̃#
162,#d̪ˌen̪ɑrˈɑːt̪ɑ#,#d̪ɑːʀʀjɛt̪#,#d̪ɑ̃ʁe#
163,#d̪ˈen̪t̪em#,#d̪ɑ̃ː#,#d̪ɑ̃#
164,#d̪ˈerbit̪ɑːrum#,#d̪ɑːʀʀ#,#d̪aʁt̪ʁ#
165,#d̪ˌeːrˈet̪roː#,#d̪ʀjaʀ#,#d̪ɛʁjɛʁ#
166,#d̪ˌeːsˈuːrsum#,#d̪?zy#,#d̪əsy#
167,#d̪ˈeum#,#d̪je#,#d̪jø#
168,#d̪eːˈun̪d̪e#,#œ̃ː#,#d̪ɔ̃#
169,#d̪ˌiːd̪omˈin̪ikɑ#,#d̪imɑ̃ː#,#d̪imɑ̃ʃ#
170,#d̪ˈiɡit̪um#,#d̪ɛ#,#d̪wa#
171,#d̪ˌimˈed̪ium#,#d̪amje#,#d̪əmi#
172,#d̪iːrˈekt̪ɑm#,#ʀiwj#,#d̪ʁwat̪#
173,#d̪iːrˈekt̪um#,#ʀiwj#,#d̪ʁwa#
174,#d̪ˌisiuːn̪ˈɑːre#,#d̪əjʀn̪jaʀ#,#d̪in̪e#
175,#d̪ˌisˈoːrd̪in̪em#,#d̪?zuʀn̪#,#d̪ezɔʁd̪ʁ#
176,#d̪iˌurn̪ˈɑːt̪ɑm#,#ʒuʀn̪jɛt̪#,#ʒuʁn̪e#
177,#d̪iˈurn̪oːs#,#ʒuʀ#,#ʒuʁ#
178,#d̪ˌiːwˈiːn̪um#,#d̪vɛ̃ː#,#d̪əvɛ̃#
179,#d̪ˌiːβiˈoːn̪em#,#d̪iʒœ̃ː#,#d̪iʒɔ̃#
180,#d̪ˌolˈoːrem#,#d̪wuʀ#,#d̪ulœʁ#
181,#d̪ˈolum#,#d̪ye̯w#,#d̪œj#
182,#d̪ˈomin̪ɑm#,#d̪ye̯m#,#d̪am#
183,#d̪ˌomn̪iˈoːn̪em#,#œːɲœ̃ː#,#d̪ɔ̃ʒɔ̃#
184,#d̪ˌomn̪ikˈellɑm#,#œ̃ːzʲoːw#,#d̪əmwazɛl#
185,#d̪ˈoːɡɑ#,#d̪uv#,#d̪uv#
186,#d̪ˌoːn̪ˈɑːre#,#œn̪jaʀ#,#d̪ɔn̪e#
187,#d̪ˈoːn̪ɑt̪#,#yːn̪#,#d̪ɔn̪#
188,#d̪ˈoːn̪um#,#œ̃ː#,#d̪ɔ̃#
189,#d̪ˌormˈiːre#,#d̪uʀmiʀ#,#d̪ɔʁmiʁ#
190,#d̪ˈormit̪#,#d̪ɔʀ#,#d̪ɔʁ#
191,#d̪ˌormiːt̪ˈoːrium#,#d̪uʀt̪waʀ#,#d̪ɔʁt̪waʁ#
192,#d̪ˈorsum#,#d̪ɔ#,#d̪o#
193,#d̪rˈɑppoːs#,#ʀa#,#d̪ʁa#
194,#d̪rˈɑppum#,#ʀa#,#d̪ʁa#
195,#d̪ˈubit̪um#,#d̪ɔ#,#d̪ut̪#
196,#d̪ˈulkiɑm#,#d̪øj#,#d̪us#
197,#d̪ˈulkium#,#d̪øj#,#d̪u#
198,#d̪uˈoːs#,#d̪wø#,#d̪ø#
199,#d̪ˈuplum#,#d̪ye̯pw#,#d̪ubl#
200,#d̪ˈuːrɑm#,#d̪yːʀ#,#d̪yʁ#
201,#d̪ˈuːrɑːs#,#d̪yːʀ#,#d̪yʁ#
202,#d̪ˈuːroːs#,#d̪yʀ#,#d̪yʁ#
203,#d̪ˈuːrum#,#d̪yːʀ#,#d̪yʁ#
204,#ˈebrium#,#ɛvjʀ#,#ivʁ#
205,#ˌeɡoː#,#e#,#ʒə#
206,#ekkehˌɑk#,#ksa#,#sa#
207,#ekkehˌiːk#,#ksi#,#si#
208,#ekkehˌok#,#ksu#,#sə#
209,#ekkeˌillɑ#,#ksəww#,#sɛl#
210,#ekkeˌillɑːs#,#ksəww#,#sɛl#
211,#ekkeˌilloːs#,#ksəw#,#sø#
212,#ekkeˌillum#,#ksəww#,#sə#
213,#ekkeˌist̪ɑm#,#ks?t̪#,#sɛt̪#
214,#ekkeˌist̪um#,#ks?#,#sə#
215,#ekkeˌist̪oːs#,#ks?#,#se#
216,#ˌeksˈɑɡium#,#ɛːsu#,#ɛsɛ#
217,#ˌeksˈɑːmen̪#,#ɛːsjɛ̃ː#,#ɛsɛ̃#
218,#ˌeksfrˌuːkt̪ˈɑːre#,#?fʀit̪jaʀ#,#efʁit̪e#
219,#ˌekskˈort̪ikˈɑːre#,#?kɔr̥ʝjaʀ#,#ekɔʁʃe#
220,#ˌekst̪rˈɑːn̪eum#,#ɑːʀjɛ̃ː#,#et̪ʁɑ̃ʒ#
221,#ˈekwɑ#,#jøw#,#iv#
222,#ˈeːsiɑm#,#wa#,#waz#
223,#ˌet̪#,##,#e#
224,#fˈɑbɑ#,#fjɛv#,#fɛv#
225,#fˈɑːbrikɑm#,#foːʀ#,#fɔʁʒ#
226,#fˈɑɡum#,#fu#,#fu#
227,#fˈɑlsɑm#,#foːs#,#fos#
228,#fˈɑlsum#,#foː#,#fo#
229,#fˈɑkere#,#fiwjʀ#,#fɛʁ#
230,#fˈɑkiɑ#,#fa#,#fas#
231,#fˈɑkiɑm#,#fa#,#fas#
232,#fˌɑkt̪iˈoːn̪em#,#fɛːsœ̃ː#,#fasɔ̃#
233,#fˈɑkt̪um#,#fɛː#,#fɛ#
234,#fˈɑmem#,#fjɛ̃ː#,#fɛ̃#
235,#ɸˌɑːsiˈɑːn̪um#,#ɸɛːsjɛ̃ː#,#fəzɑ̃#
236,#fˌɑskˈellum#,#fɛːsoːw#,#fɛso#
237,#fˈɑskem#,#fɛː#,#fɛ#
238,#fˌɑt̪ˈuːt̪um#,#fyː#,#fø#
239,#fˈebrem#,#foːʀ#,#fjɛvʁ#
240,#fˌebruˈɑːrium#,#foːʀiwjʀ#,#fevʁije#
241,#fˈel#,#fjø#,#fjɛl#
242,#fˈeːmin̪ɑm#,#fɑ̃m#,#fam#
243,#fˈeːn̪um#,#fɛ̃ː#,#fwɛ̃#
244,#fˈeːriɑ#,#fwaʀ#,#fwaʁ#
245,#fˈerɑm#,#fjaʀ#,#fjɛʁ#
246,#fˈerrum#,#fɑːʀʀ#,#fɛʁ#
247,#fˈerum#,#fjaʀ#,#fjɛʁ#
248,#fˈest̪ɑm#,#fɛːt̪#,#fɛt̪#
249,#fˈikɑt̪um#,#fwa#,#fwa#
250,#fˈid̪em#,#fwa#,#fwa#
251,#fˈiːliɑm#,#fiː#,#fij#
252,#fˌiːlikˈellɑm#,#fiwzʲoːw#,#fisɛl#
253,#fˌiːlˈiolɑm#,#fijye̯w#,#fijœl#
254,#fˌiːlˈiolum#,#fijye̯w#,#fijœl#
255,#fˈiːlius#,#fiw#,#fis#
256,#fˈiːlum#,#fiː#,#fil#
257,#fˌimˈɑːrium#,#famiwjʀ#,#fymje#
258,#fˈin̪d̪ere#,#fɑ̃ːʀ#,#fɑ̃d̪ʁ#
259,#fˈin̪d̪it̪ɑm#,#fɑ̃ːt̪#,#fɑ̃t̪#
260,#fˈiːn̪em#,#fɛ̃ː#,#fɛ̃#
261,#fˈin̪kt̪um#,#fɛ̃ː#,#fɛ̃#
262,#fˈirmɑm#,#faʀm#,#fɛʁm#
263,#fˌirmˈɑːre#,#faʀmjaʀ#,#fɛʁme#
264,#flˌɑɡˈelloːs#,#fwajoː#,#fleo#
265,#flˌɑɡˈellum#,#fwajoːw#,#fleo#
266,#flˈɑwɑm#,#fwjɛv#,#flu#
267,#flˈɑwum#,#fwu#,#flu#
268,#flˈeːbilem#,#fwwaww#,#fɛbl#
269,#fˈoliɑ#,#fye̯j#,#fœj#
270,#fˈollem#,#fuw#,#fu#
271,#fˈolleːs#,#fu#,#fu#
272,#fˌokˈiːlem#,#fye̯si#,#fyzi#
273,#fˈokum#,#fye̯#,#fø#
274,#fˌon̪t̪ˈɑːn̪ɑm#,#fœ̃ːt̪jɛn̪#,#fɔ̃t̪ɛn̪#
275,#fˌorˈest̪em#,#fuʀɛː#,#fɔʁɛ#
276,#fˈoriɑm#,#fywjʀ#,#fwɑʁ#
277,#fˌormˈɑːt̪ikum#,#fuʀmjɛt̪#,#fʁomaʒ#
278,#fˌormˈiːkum#,#fuʀmi#,#fuʁmi#
279,#fˈort̪em#,#fɔr̥#,#fɔʁ#
280,#fˈort̪iɑ#,#fye̯r̥#,#fɔʁs#
281,#fˈossɑm#,#fɔs#,#fos#
282,#fˌossˈɑːt̪um#,#fusjɛ#,#fose#
283,#frˈɑɡilem#,#fʀjø#,#fʁɛl#
284,#frˈɑn̪kɑm#,#fʀɑ̃ː#,#fʁɑ̃ʃ#
285,#frˈɑn̪kiɑm#,#fʀɑ̃ː#,#fʁɑ̃s#
286,#frˈɑn̪koːs#,#fʀɑ̃ː#,#fʁɑ̃#
287,#frˈɑn̪kum#,#fʀɑ̃ː#,#fʁɑ̃#
288,#frˈɑksin̪um#,#fʀɛːʀn̪#,#fʁɛn̪#
289,#frˈɑːt̪rem#,#fʀjaʀ#,#fʁɛʁ#
290,#frˈiɡid̪ɑm#,#fʀɛd̪#,#fʁwad̪#
291,#frˈiɡid̪um#,#fʀwa#,#fʁwa#
292,#frˈiːkt̪iˈoːn̪em#,#fʀisœ̃ː#,#fʁisɔ̃#
293,#frˈuːkt̪um#,#fʀi#,#fʁɥi#
294,#fˈuːɡit̪ɑm#,#fyt̪#,#fɥit̪#
295,#fˈulɡerem#,#fuwʀ#,#fud̪ʁ#
296,#fˌuːmˈɑːre#,#fymjaʀ#,#fyme#
297,#fˌun̪d̪ˈɑːre#,#fœ̃ːd̪jaʀ#,#fɔ̃d̪e#
298,#fˈun̪d̪us#,#fœ̃ː#,#fɔ̃#
299,#fˈuːst̪em#,#fyː#,#fy#
300,#ɡˈɑlbin̪um#,#ʒoːn̪#,#ʒon̪#
301,#ɡˈɑmbɑm#,#ʒɑ̃m#,#ʒɑ̃b#
302,#ɡˌɑrd̪ˈiːn̪um#,#ʒaʀd̪ɛ̃ː#,#ʒaʁd̪ɛ̃#
303,#ɡˈɑwd̪iɑm#,#ʒu#,#ʒwɑ#
304,#ɡˈɑwt̪ɑ#,#ʒɔt̪#,#ʒu#
305,#ɡˌemˈelloːs#,#ʒamoː#,#ʒymo#
306,#ɡˈen̪erum#,#ʒɑ̃ːʀ#,#ʒɑ̃d̪ʁ#
307,#ɡˈen̪t̪em#,#ʒɑ̃ː#,#ʒɑ̃#
308,#ɡˈen̪t̪eːs#,#ʒɑ̃ː#,#ʒɑ̃#
309,#ɡˌen̪ˈukuloːs#,#ʒan̪uw#,#ʒən̪u#
310,#ɡˌen̪ˈukulum#,#ʒan̪u#,#ʒən̪u#
311,#ɡeˈorɡius#,#ʒɔʀ#,#ʒɔʁʒ#
312,#ɡlˈɑkiɑ#,#?a#,#ɡlas#
313,#ɡlˈuːt̪em#,#?yː#,#ɡly#
314,#ɡrˈɑkilem#,#dʲɛj#,#ɡʁɛl#
315,#ɡrˈɑːn̪ɑ#,#dʲjɛn̪#,#ɡʁɛn̪#
316,#ɡrˈɑn̪d̪em#,#dʲɑ̃ː#,#ɡʁɑ̃#
317,#ɡrˈɑːn̪ikɑm#,#dʲɑ̃ː#,#ɡʁɑ̃ʃ#
318,#ɡrˈɑːn̪um#,#dʲjɛ̃ː#,#ɡʁɛ̃#
319,#ɡrˈɑɸium#,#dʲa#,#ɡʁɛf#
320,#ɡrˈɑːt̪um#,#dʲɛ#,#ɡʁe#
321,#ɡrˈossum#,#dʲɔ#,#ɡʁo#
322,#ɡrˈuːɑ#,#dʲyː#,#ɡʁy#
323,#ɡˈulɑm#,#ɡøw#,#ɡœl#
324,#ɡˈulbiɑm#,#ɡuw#,#ɡuʒ#
325,#ɡˈummɑ#,#ɡym#,#ɡɔm#
326,#ɡˈust̪um#,#ɡuː#,#ɡu#
327,#ɡˈut̪t̪ɑm#,#ɡut̪#,#ɡut̪#
328,#hˌɑbˈeːre#,#avaʀ#,#avwaʁ#
329,#hˈɑbeo#,#a#,#e#
330,#heːmˈiːn̪ɑm#,#miːn̪#,#min̪#
331,#hˈeːrem#,#waʀ#,#waʁ#
332,#hˈeri#,#jaʀ#,#jɛʁ#
333,#hˌiːbˈern̪um#,#ivaʀn̪#,#ivɛʁ#
334,#hiˌerˈoːn̪ymum#,#ʒʀœ̃ː#,#ʒeʁom#
335,#hˈiːk#,#iː#,#i#
336,#hˈod̪ieː#,#ye̯#,#ɥi#
337,#hˈomin̪em#,#ye̯n̪#,#ɔm#
338,#hˌon̪ˈoːrem#,#yn̪uʀ#,#ɔn̪œʁ#
339,#hˈoːrɑm#,#øʀ#,#œʁ#
340,#hˈord̪eum#,#ɔʀ#,#ɔʁʒ#
341,#hˈospit̪em#,#oː#,#ot̪#
342,#hˌospit̪ˈɑːle#,#uːt̪jø#,#ot̪ɛl#
343,#iˈɑket̪#,#ʒɛs#,#ʒi#
344,#iˌɑːn̪uˈɑːrium#,#ʒɑ̃ːviwjʀ#,#ʒɑ̃vje#
345,#iˌeːiˈuːn̪ium#,#ʒɥɛ̃ː#,#ʒœn̪#
346,#illˌɑk#,#wwa#,#la#
347,#ˈillɑm#,#øw#,#ɛl#
348,#illˌɑm#,#wwa#,#la#
349,#illɑːs#,#wwa#,#le#
350,#ˈilliː#,#iwj#,#il#
351,#illˈoːrum#,#wwøʀ#,#lœʁ#
352,#illoːs#,#w#,#le#
353,#ˈilloːs#,#ø#,#ø#
354,#illˈuːi#,#wwyː#,#lɥi#
355,#illum#,#ww#,#lə#
356,#ˌimperɑːt̪ˈoːrem#,#ɑ̃ːpʀuːʀ#,#ɑ̃pʁœʁ#
357,#ˌin̪#,#ɑ̃ː#,#ɑ̃#
358,#ˌin̪d̪e#,#ɑ̃ː#,#ɑ̃#
359,#ˌin̪fˈern̪um#,#ɑ̃ːfaʀn̪#,#ɑ̃fɛʁ#
360,#ˌin̪ɡˈen̪ioːs#,#ɛɲiwjn̪#,#ɑ̃ʒɛ̃#
361,#ˌin̪ɡˈen̪ium#,#ɛɲjɛ̃ː#,#ɑ̃ʒɛ̃#
362,#ˌin̪kˈɑn̪t̪ɑːmˈen̪t̪um#,#ɑ̃ːʃɑ̃ːt̪mɑ̃ː#,#ɑ̃ʃɑ̃t̪əmɑ̃#
363,#ˌin̪sˈiɡn̪iɑ#,#iːzɑ̃ː#,#ɑ̃sɛɲ#
364,#ˌin̪sˌimul#,#iːzamw#,#ɑ̃sɑ̃bl#
365,#ˈin̪sulɑ#,#iːw#,#il#
366,#ˈin̪t̪eɡrɑm#,#ɑ̃ːt̪iwjʀ#,#ɑ̃t̪jɛʁ#
367,#ˈin̪t̪eɡrum#,#ɑ̃ːt̪iwjʀ#,#ɑ̃t̪je#
368,#ˌin̪t̪er#,#ɑ̃ːʀ#,#ɑ̃t̪ʁ#
369,#ˌin̪t̪rˈɑliɑ#,#ɑ̃ːʀjɛj#,#ɑ̃t̪ʁɑj#
370,#iˈokum#,#ʒye̯#,#ʒø#
371,#iˌowisd̪ˈiːem#,#ʒud̪iː#,#ʒød̪i#
372,#iˈuːd̪ikem#,#ʒyː#,#ʒyʒ#
373,#iˈuɡum#,#ʒø#,#ʒu#
374,#iˌun̪ˈiːkiɑ#,#ʒyn̪i#,#ʒen̪is#
375,#iˈuːn̪ium#,#ʒyːjn̪#,#ʒɥɛ̃#
376,#iˈuːs#,#ʒyː#,#ʒy#
377,#iˈuwen̪em#,#ʒœ̃ː#,#ʒœn̪#
378,#iˌuwen̪kˈellɑm#,#ʒəwŋsoːw#,#ʒuvɑ̃sɛl#
379,#iˌuwen̪kˈellum#,#ʒəwŋsoːw#,#ʒuvɑ̃so#
380,#kˌɑbˈɑllum#,#ʃvoːw#,#ʃəval#
381,#kˌɑbˈɑlloːs#,#ʃvoː#,#ʃəvo#
382,#kˌɑd̪ˈen̪t̪iɑm#,#ʃjɛ̃ː#,#ʃɑ̃s#
383,#kˈae̯kum#,#sjɛ#,#sjø#
384,#kˈae̯lum#,#sjø#,#sjɛl#
