SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ˈɤ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,+,+
ɤ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,-,-
ˌɤ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,+,-
ˈɤ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,+,+
ɤː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,-,-
ˌɤː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,+,-
ˈɤː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,+,+
ɤ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,-,-
ˌɤ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,+,-
ˈɤ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,+,-,+,+
o̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,0,0
õ̯,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,0,0
o,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,-,-
ˌo,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,-
ˈo,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,+
õ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,-,-
ˌõ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,-
ˈõ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,+
oː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,-,-
ˌoː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,+,-
ˈoː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,+,+
õː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,-,-
ˌõː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,+,-
ˈõː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,+,-,+,+
ʌ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,0,0
ʌ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,0,0
ʌ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,-,-
ˌʌ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,+,-
ˈʌ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,+,+
ʌ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,-,-
ˌʌ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,+,-
ˈʌ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,-,-,+,+
ʌː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,-,-
ˌʌː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,+,-
ˈʌː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,+,+
ʌ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,-,-
ˌʌ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,+,-
ˈʌ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,-,-,+,-,+,+
ɔ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,0,0
ɔ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,0,0
ɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,-,-
ˌɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,-
ˈɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,+
ɔ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,-,-
ˌɔ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,-
ˈɔ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,+
ɔː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,-,-
ˌɔː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,+,-
ˈɔː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,+,+
ɔ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,-,-
ˌɔ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,+,-
ˈɔ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,+,-,+,+
ɑ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,0,0
ɑ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,0,0
ɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,-,-
ˌɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,-
ˈɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,+
ɑ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,-,-
ˌɑ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,-
ˈɑ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,+
ɑː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,-,-
ˌɑː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,+,-
ˈɑː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,+,+
ɑ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,-,-
ˌɑ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,+,-
ˈɑ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,+,-,+,+
ɒ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,0,0
ɒ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,0,0
ɒ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,-,-
ˌɒ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,+,-
ˈɒ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,+,+
ɒ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,-,-
ˌɒ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,+,-
ˈɒ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,-,-,+,+
ɒː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,-,-
ˌɒː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,+,-
ˈɒː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,+,+
ɒ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,-,-
ˌɒ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,+,-
ˈɒ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,+,-,+,+,-,+,-,+,+
ɐ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,0,0
ɐ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,0,0
ɐ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,-,-
ˌɐ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,+,-
ˈɐ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,+,+
ɐ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,-,-
ˌɐ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,+,-
ˈɐ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,-,-,+,+
ɐː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,-,-
ˌɐː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,+,-
ˈɐː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,+,+
ɐ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,-,-
ˌɐ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,+,-
ˈɐ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,-,-,+,-,+,+
