SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ʑ,-,-,+,+,0,-,-,+,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ç,-,-,+,+,0,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ʝ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ʎ,-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ʎˠ,-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,-,-,0,0
ŋ,-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
k,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
kʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
kʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,-,-,0,0
kʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,+,+,-,+,-,+,0,-,-,-,0,0
kᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,+,+,-,+,+,-,0,-,-,-,0,0
ɡ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
ɡʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
ɡʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,-,-,0,0
ɡʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,0,-,-,-,0,0
ɡᶣ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,+,+,-,+,+,-,0,-,-,-,0,0
x,-,-,+,+,0,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
xʲ,-,-,+,+,0,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,-,-,0,0
xʷ,-,-,+,+,0,-,-,-,-,-,-,-,-,0,+,+,-,+,-,+,0,-,-,-,0,0
ɣ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
ɣʲ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,-,-,0,0
ɣʷ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,0,-,-,-,0,0
ʟ,-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,0,0
q,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
qʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,+,-,-,+,-,+,0,-,-,-,0,0
qʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ɢʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,0,-,-,-,0,0
ɢʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
χ,-,-,+,+,0,-,-,+,-,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
χʷ,-,-,+,+,0,-,-,+,-,-,-,-,-,0,+,-,-,+,-,+,0,-,-,-,0,0
ʁ,-,-,+,+,0,-,-,+,+,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ʁʷ,-,-,+,+,0,-,-,+,+,-,-,-,-,0,+,-,-,+,-,+,0,-,-,-,0,0
