'i n̪ s `i ɡ n̪ i ɑ m , 'e n̪ s `e ŋ n̪ ʝ ɑ , 'ẽ n̪ s ɛ̃ j̃ ɲ ə , ã n̪ s ɛ̃ j̃ ɲ ə , ã s ɛ ɲ ə , ɑ̃ s ɛ ɲ $enseigne. 
f `i n̪ k t̪ u m , f `e ŋ t̪ o , f `ẽ j̃ n̪ t̪ , f `ɛ̃ j̃ n̪ t̪ , f `ɛ̃ t̪ , f ɛ̃ $feint.
t̪ `eː k t̪ u m , t̪ `e x t̪ o , t̪ `e j t̪ , t̪ w `ɛ t̪ , t̪ w `ɛ t̪ , t̪ w ɑ $toi. 
r `i ɡ i d̪ ɑ m , r `e ʝ e d̪ ɑ , r `e j d̪ ə , r w `ɛ d̪ ə , r `ɛ d̪ ə , ʁ ɛ d̪ $raide. 
s `e p t̪ e m , s `ɛ p t̪ e , s `ɛ t̪ , s `ɛ t̪ , s `ɛ t̪ , s ɛ t̪ $sept. 
t̪ `e m p u s , t̪ `ɛ m p o s , t̪ `ẽ n̪ s , t̪ `ã n̪ s , t̪ `ãː s , t̪ ɑ̃ $temps.
b `e l l u s , b `ɛ l l o s , b `ɛ w s , b ə̯ `a w s , b ə̯ `o s , b o $beaux.
p `e d̪ e m , p `ɛ d̪ ɛ , p i ɛ̯ θ , p j `e , p j `e , p j e $pied
h `e r i , `ɛ r i , `i ɛ̯ r , j `e r , j `ɛ r , j ɛ ʁ $hier.
f `e r ɑ m , f `ɛ r ɑ , f `i ɛ̯ r ə , f j `e r ə , f j `e r ə , f j ɛ ʁ $fière
b `e n̪ e , b `ɛ n̪ ɛ , b `i ɛ̯ n̪ , b j `ẽ n̪ , b j `ɛ̃ n̪ , b j ɛ̃ $bien. 
t̪ `e n̪ e n̪ t̪ , t̪ `ɛ n̪ ɛ n̪ t̪ , t̪ `i ɛ̯ n̪ ɛ n̪ t̪ , t̪ j `ẽ n̪ ə̃ t̪ , t̪ j `ɛ n̪ ə , t̪ j ɛ n̪ $tiennent. GVerb. 
d̪ `e u m , d `ɛ o , d̪ `i ɛ̯ w , d̪ j `ø , d̪ j `ø , d̪ j ø $dieu.
w `e t̪ u l u m , β `e k l o , v `i ɛ̯ ʎ , v j `e ʎ , v j `ɛ ʎ , v j ɛ j $vieil
w `e t̪ u l oː s , β `ɛ k l o s , v `i ɛ̯ ʎ t͡s , v j `ø s , v j `ø s , v j ø $vieux. 
t̪ `e n̪ e ɑ t̪ , t̪ `ɛ n̪ ʝ ɑ t̪ , t̪ `i ɛ̯ ɲ e θ , t̪ j `ɛ̃ ɲ ə , t̪ j `ɛ ɲ ə , t̪ j `ɛ n̪ $tienne. Verb.
... , 'e n̪ ɟ `ɛ n̪ ʝ o s , 'ẽ n̪ d͡ʒ `i n̪ t͡s , 'ã n̪ ʒ `ĩ n̪ s , 'ã ʒ ɛ̃ s , ɑ̃ ʒ ɛ̃ $engins. 
t̪ `e n̪ e o , t̪ `ɛ n̪ ʝ ɔ , t̪ `i ɛ̯ ɲ , t̪ j `ẽ ɲ , t̪ j `ɛ̃ n̪ , t j ɛ̃ $tiens. Verb.
p `eː j u s , p `ɛ ʝ o s , p `i s , p `i s , p `i s , p i $pis
l `e k t̪ u m , l `ɛ x t̪ o , l `i t̪ , l `i t̪ , l `i t̪ , l i $lit
p 'e r s `oː n̪ ɑ m , p 'ɛ r s `o n̪ ɑ , p 'ɛ r s `u n̪ ə , p 'ɛ r s `ũ n̪ ə , p 'ɛ r s `ũ n̪ ə , p ɛ ʁ s ɔ n̪ $personne
f 'i r m `ɑː r e , f 'e r m `ɑ r ɛ , f 'ɛ r m `e r , f 'ɛ r m `e r , f 'ɛ r m `e , f ɛ r m e $fermer. Verb.
l 'e w i `ɑː r i u m , l 'ɛ β ʝ `ɑ r ʝ o , l 'e d͡ʒ `i ɛ̯ r , l 'e ʒ j `e r , l 'e ʒ `e , l e ʒ e $léger. Verb.
