etID  | Late Latin | Old French I | Old French II | Middle French  | Output [REFERENCE]
325    | #ɡrˈɑn̪o# | #ɡrˈãj̃n̪# | #ɡrˈɛ̃j̃n̪# | #ɡrˈɛ̃ː# | #ɡʁɛ̃# {GOLD: #ɡʁɛ̃#}
326    | #ɡrˈɑfʝo# | #ɡrˈad͡ʒə# | #ɡrˈaʒə# | #ɡrˈaʒə# | #ɡʁaʒ# {GOLD: #ɡʁɛf#}
327    | #ɡrˈɑt̪o# | #ɡrˈeːθ# | #ɡrˈe# | #ɡrˈe# | #ɡʁe# {GOLD: #ɡʁe#}
328    | #ɡrˈɔsso# | #ɡrˈɔs# | #ɡrˈɔs# | #ɡrˈɔs# | #ɡʁo# {GOLD: #ɡʁo#}
329    | #ɡrˈuɑ# | #ɡrˈyə# | #ɡrˈyə# | #ɡrˈyː# | #ɡʁy# {GOLD: #ɡʁy#}
330    | #ɡˈolɑ# | #ɡˈowlə# | #ɡˈølə# | #ɡˈølə# | #ɡœl# {GOLD: #ɡœl#}
331    | #ɡˈoɫbʝɑ# | #ɡˈoɫd͡ʒə# | #ɡˈuʒə# | #ɡˈuʒə# | #ɡuʒ# {GOLD: #ɡuʒ#}
332    | #ɡˈommɑ# | #ɡˈũmə# | #ɡˈũmə# | #ɡˈũmə# | #ɡɔm# {GOLD: #ɡɔm#}
333    | #ɡˈost̪o# | #ɡˈost̪# | #ɡˈuːt̪# | #ɡˈuːt̪# | #ɡu# {GOLD: #ɡu#}
334    | #ɡˈot̪t̪ɑ# | #ɡˈot̪ə# | #ɡˈut̪ə# | #ɡˈut̪ə# | #ɡut̪# {GOLD: #ɡut̪#}
335    | #hˌɑβˈerɛ# | #ˌavˈojr# | #ˌavwˈɛr# | #ˌavwˈɛr# | #avwaʁ# {GOLD: #avwaʁ#}
336    | #hˈɑbʝɔ# | #ˈad͡ʒə# | #ˈaʒə# | #ˈaʒə# | #aʒ# {GOLD: #e#}
337    | #hemˈin̪ɑ# | #mˈin̪ə# | #mˈĩn̪ə# | #mˈin̪ə# | #min̪# {GOLD: #min̪#}
338    | #hˈerɛ# | #ˈejr# | #wˈɛr# | #wˈɛr# | #waʁ# {GOLD: #waʁ#}
339    | #hˈɛre# | #ˈie̯r# | #jˈer# | #jˈer# | #jɛʁ# {GOLD: #jɛʁ#}
340    | #hˌiβˈɛrn̪o# | #ˌivˈɛr# | #ˌivˈɛr# | #ˌivˈɛr# | #ivɛʁ# {GOLD: #ivɛʁ#}
341    | #hʝˌɛrˈon̪emo# | #d͡ʒˌerˈũɫmə# | #ʒˌerˈũmə# | #ʒˌerˈũmə# | #ʒeʁɔm# {GOLD: #ʒeʁom#}
342    | #hˈik# | #ˈi# | #ˈi# | #ˈi# | #i# {GOLD: #i#}
343    | #hˈɔʝʝe# | #ˈyj# | #ˈyj# | #ˈyj# | #yj# {GOLD: #ɥi#}
344    | #hˈɔmen̪ɛ# | #ˈũmə# | #ˈũmə# | #ˈũmə# | #ɔm# {GOLD: #ɔm#}
345    | #hˌɔn̪ˈorɛ# | #ˌũn̪ˈowr# | #ˌũn̪ˈør# | #ˌũn̪ˈør# | #ɔn̪œʁ# {GOLD: #ɔn̪œʁ#}
346    | #hˈorɑ# | #ˈowrə# | #ˈørə# | #ˈørə# | #œʁ# {GOLD: #œʁ#}
347    | #hˈɔrɟʝo# | #ˈɔrd͡ʒə# | #ˈɔrʒə# | #ˈɔrʒə# | #ɔʁʒ# {GOLD: #ɔʁʒ#}
348    | #hˈɔspet̪ɛ# | #ˈɔst̪ə# | #ˈoːt̪ə# | #ˈoːt̪ə# | #ot̪# {GOLD: #ot̪#}
349    | #hˌɔspet̪ˈɑlɛ# | #ˌɔst̪ˈeːl# | #ˌoːt̪ˈel# | #ˌoːt̪ˈel# | #ot̪ɛl# {GOLD: #ot̪ɛl#}
350    | #ʝˈɑcɛt̪# | #d͡ʒˈit͡sʲt̪# | #ʒˈiːt̪# | #ʒˈiːt̪# | #ʒi# {GOLD: #ʒi#}
351    | #ʝˌɑn̪wˈɑrʝo# | #d͡ʒˌãn̪vˈie̯r# | #ʒˌãn̪vjˈer# | #ʒˌãːvjˈer# | #ʒɑ̃vje# {GOLD: #ʒɑ̃vje#}
352    | #ʝˌeʝˈun̪ʝo# | #d͡ʒˌəˈyj̃ɲ# | #ʒˌəˈyj̃ɲ# | #ʒə̯ˈyj̃n̪# | #ʒyj̃n̪# {GOLD: #ʒœn̪#}
353    | #ellˌɑk# | #lˌa# | #lˌa# | #lˌa# | #la# {GOLD: #la#}
354    | #ˈellɑ# | #ˈelə# | #ˈɛlə# | #ˈɛlə# | #ɛl# {GOLD: #ɛl#}
355    | #ellˌɑ# | #lˌa# | #lˌa# | #lˌa# | #la# {GOLD: #la#}
356    | #ellɑs# | #las# | #las# | #las# | #la# {GOLD: #le#}
357    | #ˈelli# | #ˈil# | #ˈil# | #ˈil# | #il# {GOLD: #il#}
358    | #ellˈoro# | #lˈowr# | #lˈør# | #lˈør# | #lœʁ# {GOLD: #lœʁ#}
359    | #ellos# | #les# | #les# | #les# | #le# {GOLD: #le#}
360    | #ˈellos# | #ˈeɫs# | #ˈøs# | #ˈøs# | #ø# {GOLD: #ø#}
361    | #ellˈue# | #lˈyj# | #lˈyj# | #lˈyj# | #lyj# {GOLD: #lɥi#}
362    | #ello# | #lə# | #lə# | #lə# | #lə# {GOLD: #lə#}
363    | #ˌempɛrɑt̪ˈorɛ# | #ˌẽmprəðˈowr# | #ˌãn̪prəˈør# | #ˌãːprə̯ˈør# | #ɑ̃pʁœʁ# {GOLD: #ɑ̃pʁœʁ#}
364    | #ˌen̪# | #ˌẽn̪# | #ˌãn̪# | #ˌãː# | #ɑ̃# {GOLD: #ɑ̃#}
365    | #ˌen̪d̪ɛ# | #ˌẽn̪t̪# | #ˌãn̪t̪# | #ˌãːt̪# | #ɑ̃# {GOLD: #ɑ̃#}
366    | #ˌen̪fˈɛrn̪o# | #ˌẽn̪fˈɛr# | #ˌãn̪fˈɛr# | #ˌãːfˈɛr# | #ɑ̃fɛʁ# {GOLD: #ɑ̃fɛʁ#}
367    | #ˌeŋɟˈɛn̪ʝos# | #ˌẽj̃ɲˈin̪t͡sʲ# | #ˌɛ̃j̃ɲˈĩn̪sʲ# | #ˌɛ̃ɲˈẽːs# | #ɛɲɛ̃# {GOLD: #ɑ̃ʒɛ̃#}
368    | #ˌeŋɟˈɛn̪ʝo# | #ˌẽj̃ɲˈie̯ɲ# | #ˌɛ̃j̃ɲjˈẽɲ# | #ˌɛ̃ɲjˈẽː# | #ɛjɛ̃# {GOLD: #ɑ̃ʒɛ̃#}
369    | #ˌeŋkˈɑn̪t̪ɑmˈɛn̪t̪o# | #ˌẽn̪t͡ʃˈãn̪t̪əmˈɛ̃n̪t̪# | #ˌãn̪ʃˈãn̪t̪əmˈãn̪t̪# | #ˌãːʃˈãːt̪əmˈãːt̪# | #ɑ̃ʃɑ̃t̪əmɑ̃# {GOLD: #ɑ̃ʃɑ̃t̪əmɑ̃#}
370    | #ˌen̪sˈeŋn̪ʝɑ# | #ˌẽn̪sˈẽj̃ɲə# | #ˌãn̪sˈɛ̃j̃ɲə# | #ˌãːsˈɛ̃ɲə# | #ɑ̃sɛɲ# {GOLD: #ɑ̃sɛɲ#}
371    | #ˌen̪sˌemol# | #ˌẽn̪sˌẽmblə# | #ˌãn̪sˌãn̪blə# | #ˌãːsˌãːblə# | #ɑ̃sɑ̃bl# {GOLD: #ɑ̃sɑ̃bl#}
372    | #ˈisolɑ# | #ˈizlə# | #ˈilə# | #ˈilə# | #il# {GOLD: #il#}
373    | #ˌen̪t̪ˈɛɣrɑ# | #ˌẽn̪t̪ˈie̯rə# | #ˌãn̪t̪jˈerə# | #ˌãːt̪jˈerə# | #ɑ̃t̪jɛʁ# {GOLD: #ɑ̃t̪jɛʁ#}
374    | #ˌen̪t̪ˈɛɣro# | #ˌẽn̪t̪ˈie̯r# | #ˌãn̪t̪jˈer# | #ˌãːt̪jˈer# | #ɑ̃t̪je# {GOLD: #ɑ̃t̪je#}
375    | #ˌen̪t̪ɛr# | #ˌẽn̪t̪rə# | #ˌãn̪t̪rə# | #ˌãːt̪rə# | #ɑ̃t̪ʁ# {GOLD: #ɑ̃t̪ʁ#}
376    | #ˌen̪t̪rˈɑlʝɑ# | #ˌẽn̪t̪rˈaʎə# | #ˌãn̪t̪rˈaʎə# | #ˌãːt̪rˈaʎə# | #ɑ̃t̪ʁɑj# {GOLD: #ɑ̃t̪ʁɑj#}
377    | #ʝˈɔko# | #d͡ʒˈye̯w# | #ʒˈø# | #ʒˈø# | #ʒø# {GOLD: #ʒø#}
378    | #ʝˈɔβʷesd̪ˈiɛ# | #d͡ʒˈye̯wzd̪ˈi# | #ʒˈød̪ˈi# | #ʒˈød̪ˈi# | #ʒød̪i# {GOLD: #ʒød̪i#}
379    | #ʝˈud̪ecɛ# | #d͡ʒˈyt͡sʲə# | #ʒˈysʲə# | #ʒˈysə# | #ʒys# {GOLD: #ʒyʒ#}
380    | #ʝˈoɣo# | #d͡ʒˈow# | #ʒˈø# | #ʒˈø# | #ʒø# {GOLD: #ʒu#}
381    | #ʝˌon̪ˈiccʝɑ# | #d͡ʒˌũn̪ˈit͡sʲə# | #ʒˌũn̪ˈisʲə# | #ʒˌũn̪ˈisə# | #ʒɔn̪is# {GOLD: #ʒen̪is#}
382    | #ʝˈun̪ʝo# | #d͡ʒˈyj̃ɲ# | #ʒˈyj̃ɲ# | #ʒˈyj̃n̪# | #ʒyj̃n̪# {GOLD: #ʒɥɛ̃#}
383    | #ʝˈus# | #d͡ʒˈys# | #ʒˈys# | #ʒˈys# | #ʒy# {GOLD: #ʒy#}
384    | #ʝˈoβʷɛn̪ɛ# | #d͡ʒˈown̪ə# | #ʒˈø̃n̪ə# | #ʒˈø̃n̪ə# | #ʒœn̪# {GOLD: #ʒœn̪#}
385    | #ʝˌoβʷɛŋcˈɛllɑ# | #d͡ʒˌovẽn̪t͡sʲˈɛlə# | #ʒˌuvãn̪sʲˈɛlə# | #ʒˌuvãːsˈɛlə# | #ʒuvɑ̃sɛl# {GOLD: #ʒuvɑ̃sɛl#}
386    | #ʝˌoβʷɛŋcˈɛllo# | #d͡ʒˌovẽn̪t͡sʲˈɛl# | #ʒˌuvãn̪sʲe̯ˈaw# | #ʒˌuvãːsə̯ˈoː# | #ʒuvɑ̃so# {GOLD: #ʒuvɑ̃so#}
387    | #kˌɑβˈɑllekˈɑrɛ# | #t͡ʃˌəvˈaɫt͡ʃˈie̯r# | #ʃˌəvˈawʃjˈer# | #ʃˌəvˈoːʃˈer# | #ʃəvoʃe# {GOLD: #ʃəvoʃe#}
388    | #kˌɑβˈɑllekɑt̪# | #t͡ʃˌəvˈaɫt͡ʃəθ# | #ʃˌəvˈawʃə# | #ʃˌəvˈoːʃə# | #ʃəvoʃ# {GOLD: #ʃəvoʃ#}
389    | #kˌɑβˈɑllo# | #t͡ʃˌəvˈal# | #ʃˌəvˈal# | #ʃˌəvˈal# | #ʃəval# {GOLD: #ʃəval#}
390    | #kˌɑβˈɑllos# | #t͡ʃˌəvˈaɫs# | #ʃˌəvˈaws# | #ʃˌəvˈoːs# | #ʃəvo# {GOLD: #ʃəvo#}
391    | #kˌɑd̪ˈɛn̪t͡sʲʝɑ# | #t͡ʃˌaðˈɛ̃n̪t͡sʲə# | #ʃˌaˈãn̪sʲə# | #ʃˈãːsə# | #ʃɑ̃s# {GOLD: #ʃɑ̃s#}
392    | #cˈɛko# | #t͡sʲˈie̯w# | #sʲjˈø# | #sjˈø# | #sjø# {GOLD: #sjø#}
393    | #cˈɛlo# | #t͡sʲˈie̯l# | #sʲjˈel# | #sˈel# | #sɛl# {GOLD: #sjɛl#}
394    | #cˈɛlos# | #t͡sʲˈie̯ɫs# | #sʲjˈøs# | #sjˈøs# | #sjø# {GOLD: #sjø#}
395    | #cˌɛrɛfˈɔlʝo# | #t͡sʲˌɛrfˈye̯ʎ# | #sʲˌɛrfˈøʎ# | #sˌɛrfˈøʎ# | #sɛʁfœj# {GOLD: #sɛʁfœj#}
396    | #kˌɑced̪ˈoso# | #t͡ʃˌajzˈows# | #ʃˌɛzˈøs# | #ʃˌɛzˈøs# | #ʃɛzø# {GOLD: #ʃasjø#}
397    | #kˌɑccˈit̪ɑ# | #t͡ʃˌat͡sʲˈiðə# | #ʃˌasʲˈiə# | #ʃˌasˈiː# | #ʃasi# {GOLD: #ʃasi#}
398    | #kˌɑlˈerɛ# | #t͡ʃˌalˈejr# | #ʃˌalwˈɛr# | #ʃˌalwˈɛr# | #ʃalwaʁ# {GOLD: #ʃalwaʁ#}
399    | #kˈɑld̪o# | #t͡ʃˈaɫt̪# | #ʃˈawt̪# | #ʃˈoːt̪# | #ʃo# {GOLD: #ʃo#}
400    | #kˈɑled̪ɑ# | #t͡ʃˈaɫd̪ə# | #ʃˈawd̪ə# | #ʃˈoːd̪ə# | #ʃod̪# {GOLD: #ʃod̪#}
401    | #kˈɑɫks# | #t͡ʃˈaɫs# | #ʃˈaws# | #ʃˈoːs# | #ʃo# {GOLD: #ʃo#}
402    | #kˌɑlˈorɛ# | #t͡ʃˌalˈowr# | #ʃˌalˈør# | #ʃˌalˈør# | #ʃalœʁ# {GOLD: #ʃalœʁ#}
403    | #kˈɑɫβʷɑ# | #t͡ʃˈaɫvə# | #ʃˈawvə# | #ʃˈoːvə# | #ʃov# {GOLD: #ʃov#}
404    | #kˌɑmˈɛllo# | #t͡ʃˌãmˈɛl# | #ʃˌãme̯ˈaw# | #ʃˌãmə̯ˈoː# | #ʃamo# {GOLD: #ʃamo#}
405    | #kˈɑmɛrɑ# | #t͡ʃˈãmbrə# | #ʃˈãn̪brə# | #ʃˈãːbrə# | #ʃɑ̃bʁ# {GOLD: #ʃɑ̃bʁ#}
406    | #kˌɑmˈisʝɑ# | #t͡ʃˌəmˈizə# | #ʃˌəmˈizə# | #ʃˌəmˈizə# | #ʃəmiz# {GOLD: #ʃəmiz#}
407    | #kˌɑmˈin̪o# | #t͡ʃˌəmˈin̪# | #ʃˌəmˈĩn̪# | #ʃˌəmˈẽː# | #ʃəmɛ̃# {GOLD: #ʃəmɛ̃#}
408    | #kˌɑmˈoxso# | #t͡ʃˌãmˈojs# | #ʃˌãmwˈɛs# | #ʃˌãmwˈɛs# | #ʃamwa# {GOLD: #ʃamwa#}
409    | #kˌɑmpˈɑn̪ʝɑ# | #t͡ʃˌãmpˈãɲə# | #ʃˌãn̪pˈãɲə# | #ʃˌãːpˈãɲə# | #ʃɑ̃paɲ# {GOLD: #ʃɑ̃paɲ#}
410    | #kˌɑmpen̪ʝˈon̪ɛ# | #t͡ʃˌãmpiɲˈũn̪# | #ʃˌãn̪pĩɲˈũn̪# | #ʃˌãːpiɲˈũː# | #ʃɑ̃piɲɔ̃# {GOLD: #ʃɑ̃piɲɔ̃#}
411    | #kˈɑmpo# | #t͡ʃˈãmp# | #ʃˈãn̪p# | #ʃˈãːp# | #ʃɑ̃# {GOLD: #ʃɑ̃#}
412    | #kˌɑn̪ˈɑlɛ# | #t͡ʃˌən̪ˈal# | #ʃˌən̪ˈal# | #ʃˌən̪ˈal# | #ʃən̪al# {GOLD: #ʃən̪al#}
413    | #kˈɑn̪ɑ# | #t͡ʃˈie̯n̪ə# | #ʃjˈẽn̪ə# | #ʃjˈẽn̪ə# | #ʃjɛn̪# {GOLD: #ʃjɛn̪#}
414    | #kˈɑn̪ɛ# | #t͡ʃˈie̯n̪# | #ʃjˈẽn̪# | #ʃjˈẽː# | #ʃjɛ̃# {GOLD: #ʃjɛ̃#}
415    | #kˌɑn̪d̪ɛlˈoro# | #t͡ʃˌãn̪d̪lˈowr# | #ʃˌãn̪d̪lˈør# | #ʃˌãːd̪lˈør# | #ʃɑ̃d̪lœʁ# {GOLD: #ʃɑ̃d̪əlœʁ#}
416    | #kˌɑn̪ˈut̪o# | #t͡ʃˌən̪ˈyθ# | #ʃˌən̪ˈy# | #ʃˌən̪ˈy# | #ʃən̪y# {GOLD: #ʃən̪y#}
417    | #kˌɑn̪ˈut̪ɑ# | #t͡ʃˌən̪ˈyðə# | #ʃˌən̪ˈyə# | #ʃˌən̪ˈyː# | #ʃən̪y# {GOLD: #ʃən̪y#}
418    | #kˌɑpˈello# | #t͡ʃˌəvˈel# | #ʃˌəvˈø# | #ʃˌəvˈø# | #ʃəvø# {GOLD: #ʃəvø#}
419    | #kˌɑpˈellos# | #t͡ʃˌəvˈeɫs# | #ʃˌəvˈøs# | #ʃˌəvˈøs# | #ʃəvø# {GOLD: #ʃəvø#}
420    | #kˈɑppɑ# | #t͡ʃˈapə# | #ʃˈapə# | #ʃˈapə# | #ʃap# {GOLD: #ʃap#}
421    | #kˌɑppˈɛllɑ# | #t͡ʃˌapˈɛlə# | #ʃˌapˈɛlə# | #ʃˌapˈɛlə# | #ʃapɛl# {GOLD: #ʃapɛl#}
422    | #kˌɑppˈɛllo# | #t͡ʃˌapˈɛl# | #ʃˌape̯ˈaw# | #ʃˌapə̯ˈoː# | #ʃapo# {GOLD: #ʃapo#}
423    | #kˈɑprɑ# | #t͡ʃˈie̯vrə# | #ʃjˈevrə# | #ʃˈevrə# | #ʃɛvʁ# {GOLD: #ʃɛvʁ#}
424    | #kˌɑpt͡sʲʝˈɑrɛ# | #t͡ʃˌat͡sʲˈie̯r# | #ʃˌasʲjˈer# | #ʃˌasˈer# | #ʃase# {GOLD: #ʃase#}
425    | #kˈɑpo# | #t͡ʃˈie̯f# | #ʃjˈef# | #ʃˈef# | #ʃɛf# {GOLD: #ʃɛf#}
426    | #kˈɑrlos# | #t͡ʃˈarləs# | #ʃˈarləs# | #ʃˈarlə# | #ʃaʁl# {GOLD: #ʃaʁl#}
427    | #kˈɑrcɛrɛ# | #t͡ʃˈart̪rə# | #ʃˈart̪rə# | #ʃˈart̪rə# | #ʃaʁt̪ʁ# {GOLD: #ʃaʁt̪ʁ#}
428    | #kˌɑrˈon̪ʝɑ# | #t͡ʃˌarˈũɲə# | #ʃˌarˈũɲə# | #ʃˌarˈũɲə# | #ʃaʁɔɲ# {GOLD: #ʃaʁɔɲ#}
429    | #kˈɑrpen̪o# | #t͡ʃˈarmə# | #ʃˈarmə# | #ʃˈarmə# | #ʃaʁm# {GOLD: #ʃaʁm#}
430    | #kˌɑrrˈukɑ# | #t͡ʃˌarrˈyə# | #ʃˌarˈyə# | #ʃˌarˈyː# | #ʃaʁy# {GOLD: #ʃaʁy#}
431    | #kˌɑrɑxsˈɑrɛ# | #t͡ʃˌarejsʲˈie̯r# | #ʃˌarwɛsʲjˈer# | #ʃˌarwɛsˈer# | #ʃaʁwase# {GOLD: #ʒɛʁse#}
432    | #kˈɑrɑ# | #t͡ʃˈie̯rə# | #ʃjˈerə# | #ʃˈerə# | #ʃɛʁ# {GOLD: #ʃɛʁ#}
433    | #kˌɑret̪ˈɑt̪ɛ# | #t͡ʃˌart̪ˈeːθ# | #ʃˌart̪ˈe# | #ʃˌart̪ˈe# | #ʃaʁt̪e# {GOLD: #ʃɛʁt̪e#}
434    | #kˈɑrrekɑ# | #t͡ʃˈard͡ʒə# | #ʃˈarʒə# | #ʃˈarʒə# | #ʃaʁʒ# {GOLD: #ʃaʁʒ#}
435    | #kˌɑrrekˈɑrɛ# | #t͡ʃˌard͡ʒˈie̯r# | #ʃˌarʒjˈer# | #ʃˌarʒˈer# | #ʃaʁʒe# {GOLD: #ʃaʁʒe#}
436    | #kˌɑrrekˈɑt̪ɑ# | #t͡ʃˌard͡ʒˈie̯ðə# | #ʃˌarʒjˈeə# | #ʃˌarʒˈeː# | #ʃaʁʒe# {GOLD: #ʃaʁʒe#}
437    | #kˈɑrro# | #t͡ʃˈar# | #ʃˈar# | #ʃˈar# | #ʃaʁ# {GOLD: #ʃaʁ#}
438    | #kˈɑrt̪on̪es# | #t͡ʃˈart̪rəs# | #ʃˈart̪rəs# | #ʃˈart̪rə# | #ʃaʁt̪ʁ# {GOLD: #ʃaʁt̪ʁ#}
439    | #kˈɑro# | #t͡ʃˈie̯r# | #ʃjˈer# | #ʃˈer# | #ʃɛʁ# {GOLD: #ʃɛʁ#}
440    | #kˌɑst̪ˈɑn̪ʝɑ# | #t͡ʃˌast̪ˈãɲə# | #ʃˌaːt̪ˈãɲə# | #ʃˌaːt̪ˈãɲə# | #ʃɑt̪aɲ# {GOLD: #ʃɑt̪ɛɲ#}
441    | #kˌɑst̪ˈɛllo# | #t͡ʃˌast̪ˈɛl# | #ʃˌaːt̪e̯ˈaw# | #ʃˌaːt̪ə̯ˈoː# | #ʃɑt̪o# {GOLD: #ʃɑt̪o#}
442    | #kˈɑso# | #t͡ʃˈie̯s# | #ʃjˈes# | #ʃˈes# | #ʃe# {GOLD: #ʃe#}
443    | #kˌɑt̪ˈen̪ɑ# | #t͡ʃˌaðˈẽj̃n̪ə# | #ʃˌaˈɛ̃j̃n̪ə# | #ʃˈɛːn̪ə# | #ʃɛn̪# {GOLD: #ʃɛn̪#}
444    | #kˈɑt̪t̪ɑ# | #t͡ʃˈat̪ə# | #ʃˈat̪ə# | #ʃˈat̪ə# | #ʃat̪# {GOLD: #ʃat̪#}
445    | #kˈɑt̪t̪o# | #t͡ʃˈat̪# | #ʃˈat̪# | #ʃˈat̪# | #ʃa# {GOLD: #ʃa#}
446    | #kˌɑt̪ˈɛd̪rɑ# | #t͡ʃˌaðˈɛðrə# | #ʃˌaˈɛrə# | #ʃˈɛːrə# | #ʃɛʁ# {GOLD: #ʃɛz#}
447    | #kˌɑwˈɑn̪n̪o# | #t͡ʃˌɔwˈãn̪# | #ʃˌuˈãn̪# | #ʃˌuˈãː# | #ʃuɑ̃# {GOLD: #ʃwɑ̃#}
448    | #kˌɑʝˈɔlɑ# | #t͡ʃˌejˈye̯lə# | #ʃwˌɛjˈølə# | #ʃwˌɛjˈølə# | #ʃwajœl# {GOLD: #ʒol#}
449    | #kˌɑβʷˈeklɑ# | #t͡ʃˌəvˈeʎə# | #ʃˌəvˈɛʎə# | #ʃˌəvˈɛʎə# | #ʃəvɛj# {GOLD: #ʃəvij#}
450    | #kˈɑwles# | #t͡ʃˈɔɫs# | #ʃˈus# | #ʃˈus# | #ʃu# {GOLD: #ʃu#}
451    | #kˈɑwsɑ# | #t͡ʃˈɔzə# | #ʃˈɔzə# | #ʃˈoːzə# | #ʃoz# {GOLD: #ʃoz#}
452    | #cˈɛn̪t̪o# | #t͡sʲˈɛ̃n̪t̪# | #sʲˈãn̪t̪# | #sˈãːt̪# | #sɑ̃# {GOLD: #sɑ̃#}
453    | #cˈerɑ# | #t͡sʲˈirə# | #sʲˈirə# | #sˈirə# | #siʁ# {GOLD: #siʁ#}
454    | #cˌɛrɛβˈɛllɑ# | #t͡sʲˌɛrvˈɛlə# | #sʲˌɛrvˈɛlə# | #sˌɛrvˈɛlə# | #sɛʁvɛl# {GOLD: #sɛʁvɛl#}
455    | #cˌɛrɛβˈɛllo# | #t͡sʲˌɛrvˈɛl# | #sʲˌɛrve̯ˈaw# | #sˌɛrvə̯ˈoː# | #sɛʁvo# {GOLD: #sɛʁvo#}
456    | #cˈerʝo# | #t͡sʲˈir# | #sʲˈir# | #sˈir# | #siʁ# {GOLD: #sjɛʁʒ#}
457    | #cˈɛrt̪ɑ# | #t͡sʲˈɛrt̪ə# | #sʲˈɛrt̪ə# | #sˈɛrt̪ə# | #sɛʁt̪# {GOLD: #sɛʁt̪#}
458    | #cˌɛrt̪ˈɑn̪ɑ# | #t͡sʲˌɛrt̪ˈãj̃n̪ə# | #sʲˌɛrt̪ˈɛ̃j̃n̪ə# | #sˌɛrt̪ˈɛ̃n̪ə# | #sɛʁt̪ɛn̪# {GOLD: #sɛʁt̪ɛn̪#}
459    | #cˌɛrt̪ˈɑn̪o# | #t͡sʲˌɛrt̪ˈãj̃n̪# | #sʲˌɛrt̪ˈɛ̃j̃n̪# | #sˌɛrt̪ˈɛ̃ː# | #sɛʁt̪ɛ̃# {GOLD: #sɛʁt̪ɛ̃#}
460    | #cˌɛrβʷˈesʝɑ# | #t͡sʲˌɛrvˈojzə# | #sʲˌɛrvwˈɛzə# | #sˌɛrvwˈɛzə# | #sɛʁvwaz# {GOLD: #sɛʁvwaz#}
461    | #cˈɛrβʷo# | #t͡sʲˈɛrf# | #sʲˈɛrf# | #sˈɛrf# | #sɛʁf# {GOLD: #sɛʁ#}
462    | #cˈeŋɡlɑ# | #t͡sʲˈẽŋɡlə# | #sʲˈãŋɡlə# | #sˈãːɡlə# | #sɑ̃ɡl# {GOLD: #sɑ̃ɡl#}
463    | #cˌeŋt̪ˈurɑ# | #t͡sʲˌẽj̃n̪t̪ˈyrə# | #sʲˌɛ̃j̃n̪t̪ˈyrə# | #sˌɛ̃ːt̪ˈyrə# | #sɛ̃t̪yʁ# {GOLD: #sɛ̃t̪yʁ#}
464    | #cˈeppo# | #t͡sʲˈep# | #sʲˈɛp# | #sˈɛp# | #sɛ# {GOLD: #sɛp#}
465    | #cˈercen̪o# | #t͡sʲˈern̪ə# | #sʲˈɛrn̪ə# | #sˈɛrn̪ə# | #sɛʁn̪# {GOLD: #sɛʁn̪#}
466    | #cˈerklo# | #t͡sʲˈerklə# | #sʲˈɛrklə# | #sˈɛrklə# | #sɛʁkl# {GOLD: #sɛʁkl#}
467    | #cˌiβʷet̪ˈɑt̪ɛ# | #t͡sʲˌit̪ˈeːθ# | #sʲˌit̪ˈe# | #sˌit̪ˈe# | #sit̪e# {GOLD: #sit̪e#}
468    | #klˈɑd̪ˌeβʷɔ# | #klˈeːðˌef# | #klˈeˌef# | #klˌeːf# | #klef# {GOLD: #ɡlɛv#}
469    | #klˈɑrɑ# | #klˈeːrə# | #klˈerə# | #klˈerə# | #klɛʁ# {GOLD: #klɛʁ#}
470    | #klˈɑro# | #klˈeːr# | #klˈer# | #klˈer# | #klɛʁ# {GOLD: #klɛʁ#}
471    | #klˈɑsso# | #klˈas# | #ɡlˈas# | #ɡlˈas# | #ɡla# {GOLD: #ɡlɑ#}
472    | #klˈɑβʷɛ# | #klˈeːf# | #klˈef# | #klˈef# | #klɛf# {GOLD: #kle#}
473    | #klˈɑβʷɛ# | #klˈeːf# | #klˈef# | #klˈef# | #klɛf# {GOLD: #klɛf#}
474    | #klˈɑo# | #klˈɔw# | #klˈu# | #klˈu# | #klu# {GOLD: #klu#}
475    | #klˈet̪ɑ# | #klˈejðə# | #klˈajə# | #klˈɛː# | #klɛ# {GOLD: #klɛ#}
476    | #kˈod̪ɑ# | #kˈowðə# | #kˈøə# | #kˈøː# | #kø# {GOLD: #kø#}
477    | #kˈort̪ɛ# | #kˈort̪# | #kˈurt̪# | #kˈurt̪# | #kuʁ# {GOLD: #kuʁ#}
478    | #kˈolʝɑ# | #kˈoʎə# | #kˈuʎə# | #kˈuʎə# | #kuj# {GOLD: #kuj#}
479    | #kˈɔllos# | #kˈɔɫs# | #kˈus# | #kˈus# | #ku# {GOLD: #ku#}
480    | #kˈɔllo# | #kˈɔl# | #kˈu# | #kˈu# | #ku# {GOLD: #ku#}
481    | #kˈɔɫpos# | #kˈɔɫs# | #kˈus# | #kˈus# | #ku# {GOLD: #ku#}
482    | #kˈɔɫpo# | #kˈɔɫp# | #kˈup# | #kˈup# | #ku# {GOLD: #ku#}
483    | #kˌɔlˈoβrɑ# | #kˌolˈuvrə# | #kˌulˈuvrə# | #kˌulˈuvrə# | #kuluvʁ# {GOLD: #kulœvʁ#}
484    | #kˌɔlˈoklɑ# | #kˌolˈoʎə# | #kˌulˈuʎə# | #kˌulˈuʎə# | #kuluj# {GOLD: #kən̪uj#}
