etID  | Late Latin | Old French I | Old French II | Middle French  | Output [REFERENCE]
83     | #ˌɑɣˈost̪o# | #ˌaˈost̪# | #ˌaˈuːt̪# | #ˈuːt̪# | #ut̪# {GOLD: #ut̪#}
84     | #ˌɑwcˈɛllos# | #ˌɔjzˈɛɫs# | #wˌɛze̯ˈaws# | #wˌɛzə̯ˈoːs# | #wazo# {GOLD: #wazo#}
85     | #ˌɑwcˈɛllo# | #ˌɔjzˈɛl# | #wˌɛze̯ˈaw# | #wˌɛzə̯ˈoː# | #wazo# {GOLD: #wazo#}
86     | #ˌɑʝˈolɑ# | #ˌajˈowlə# | #ˌajˈølə# | #ˌajˈølə# | #ajœl# {GOLD: #ajœl#}
87     | #ˌɑʝˈolo# | #ˌajˈowl# | #ˌajˈølə# | #ˌajˈølə# | #ajœl# {GOLD: #ajœl#}
88     | #ˌɑwrˈeklɑ# | #ˌɔrˈeʎə# | #ˌɔrˈɛʎə# | #ˌɔrˈɛʎə# | #ɔʁɛj# {GOLD: #ɔʁɛj#}
89     | #ˈɑwro# | #ˈɔr# | #ˈɔr# | #ˈɔr# | #ɔʁ# {GOLD: #ɔʁ#}
90     | #ˌɑwsˈɑrɛ# | #ˌɔzˈeːr# | #ˌɔzˈer# | #ˌoːzˈer# | #oze# {GOLD: #oze#}
91     | #ˌɑskˌoɫt̪ˈɑrɛ# | #ˌaskˌoɫt̪ˈeːr# | #ˌaːkˌut̪ˈer# | #ˌaːkˌut̪ˈer# | #ɑkut̪e# {GOLD: #ekut̪e#}
92     | #ˈɑwt̪# | #ˈɔwθ# | #ˈu# | #ˈu# | #u# {GOLD: #u#}
93     | #ˌɑˈoŋklo# | #ˌaˈũŋklə# | #ˌaˈũŋklə# | #ˈũːklə# | #ɔ̃kl# {GOLD: #ɔ̃kl#}
94     | #bˈɑʝʝɑ# | #bˈajə# | #bˈajə# | #bˈɛː# | #bɛ# {GOLD: #bɛ#}
95     | #bˈɑʝʝo# | #bˈaj# | #bˈɛ# | #bˈɛ# | #bɛ# {GOLD: #bɛ#}
96     | #bˈɑkɑ# | #bˈajə# | #bˈajə# | #bˈɛː# | #bɛ# {GOLD: #bɛ#}
97     | #bˈɑkko# | #bˈak# | #bˈak# | #bˈak# | #bak# {GOLD: #bak#}
98     | #bˈɑn̪ʝos# | #bˈãj̃n̪t͡sʲ# | #bˈɛ̃j̃n̪sʲ# | #bˈɛ̃ːs# | #bɛ̃# {GOLD: #bɛ̃#}
99     | #bˈɑn̪ʝo# | #bˈãj̃ɲ# | #bˈɛ̃j̃ɲ# | #bˈɛ̃ː# | #bɛ̃# {GOLD: #bɛ̃#}
100    | #bˈɑɫsɑmo# | #bˈaɫmə# | #bˈawmə# | #bˈoːmə# | #bom# {GOLD: #bom#}
101    | #bˈɑrbɑ# | #bˈarbə# | #bˈarbə# | #bˈarbə# | #baʁb# {GOLD: #baʁb#}
102    | #bˈɑrɡɑ# | #bˈard͡ʒə# | #bˈarʒə# | #bˈarʒə# | #baʁʒ# {GOLD: #baʁʒ#}
103    | #bˈɑrrɑ# | #bˈarrə# | #bˈarə# | #bˈarə# | #baʁ# {GOLD: #baʁ#}
104    | #bˌɑsʝˈɑrɛ# | #bˌajzʲˈie̯r# | #bˌɛzʲjˈer# | #bˌɛzˈer# | #bɛze# {GOLD: #bɛze#}
105    | #bˈɑssɑ# | #bˈasə# | #bˈasə# | #bˈasə# | #bɑs# {GOLD: #bɑs#}
106    | #bˌɑssʝˈɑrɛ# | #bˌajsʲˈie̯r# | #bˌɛsʲjˈer# | #bˌɛsˈer# | #bɛse# {GOLD: #bɛse#}
107    | #bˈɑsso# | #bˈas# | #bˈas# | #bˈas# | #ba# {GOLD: #bɑ#}
108    | #bˌɑst̪ˈirɛ# | #bˌast̪ˈir# | #bˌaːt̪ˈir# | #bˌaːt̪ˈir# | #bɑt̪iʁ# {GOLD: #bɑt̪iʁ#}
109    | #bˌɑst̪ˈon̪ɛ# | #bˌast̪ˈũn̪# | #bˌaːt̪ˈũn̪# | #bˌaːt̪ˈũː# | #bɑt̪ɔ̃# {GOLD: #bɑt̪ɔ̃#}
110    | #bˌɑt̪t̪wˈɑlʝɑ# | #bˌat̪ˈaʎə# | #bˌat̪ˈaʎə# | #bˌat̪ˈaʎə# | #bat̪ɑj# {GOLD: #bat̪ɑj#}
111    | #bˈɑt̪t̪wɛrɛ# | #bˈat̪rə# | #bˈat̪rə# | #bˈat̪rə# | #bat̪ʁ# {GOLD: #bat̪ʁ#}
112    | #bˈɑwɑ# | #bˈɔwə# | #bˈuə# | #bˈuː# | #bu# {GOLD: #bu#}
113    | #bˈɛkko# | #bˈɛk# | #bˈɛk# | #bˈɛk# | #bɛk# {GOLD: #bɛk#}
114    | #bˈɛllɑ# | #bˈɛlə# | #bˈɛlə# | #bˈɛlə# | #bɛl# {GOLD: #bɛl#}
115    | #bˈɛllɑs# | #bˈɛləs# | #bˈɛləs# | #bˈɛlə# | #bɛl# {GOLD: #bɛl#}
116    | #bˌɛllet̪ˈɑt̪ɛ# | #bˌɛɫt̪ˈeːθ# | #be̯ˌawt̪ˈe# | #bə̯ˌoːt̪ˈe# | #bot̪e# {GOLD: #bot̪e#}
117    | #bˈɛllos# | #bˈɛɫs# | #be̯ˈaws# | #bə̯ˈoːs# | #bo# {GOLD: #bo#}
118    | #bˈɛllo# | #bˈɛl# | #be̯ˈaw# | #bə̯ˈoː# | #bo# {GOLD: #bo#}
119    | #bˈɛn̪ɛ# | #bˈie̯n̪# | #bjˈẽn̪# | #bjˈẽː# | #bjɛ̃# {GOLD: #bjɛ̃#}
120    | #bˌɛn̪ɛd̪ˈext̪o# | #bˌən̪ˈejt̪# | #bˌən̪wˈɛt̪# | #bˌən̪wˈɛt̪# | #bən̪wa# {GOLD: #bən̪wa#}
121    | #bˈɛn̪n̪ɑ# | #bˈɛ̃n̪ə# | #bˈãn̪ə# | #bˈãn̪ə# | #ban̪# {GOLD: #ban̪#}
122    | #bˌɛrbˈicɛ# | #bˌɛrbˈit͡sʲ# | #bˌɛrbˈisʲ# | #bˌɛrbˈis# | #bɛʁbi# {GOLD: #bʁəbi#}
123    | #bˈɛrlɑ# | #bˈɛrlə# | #bˈɛrlə# | #bˈɛrlə# | #bɛʁl# {GOLD: #bɛʁl#}
124    | #bˈɛst͡sʲʝɑ# | #bˈisə# | #bˈisə# | #bˈisə# | #bis# {GOLD: #bis#}
125    | #bˈilʝo# | #bˈiʎ# | #bˈiʎ# | #bˈiʎ# | #bij# {GOLD: #bij#}
126    | #blˈɑŋkɑ# | #blˈãn̪t͡ʃə# | #blˈãn̪ʃə# | #blˈãːʃə# | #blɑ̃ʃ# {GOLD: #blɑ̃ʃ#}
127    | #blˈɑŋkos# | #blˈãn̪s# | #blˈãn̪s# | #blˈãːs# | #blɑ̃# {GOLD: #blɑ̃#}
128    | #blˈɑŋko# | #blˈãŋk# | #blˈãŋk# | #blˈãːk# | #blɑ̃# {GOLD: #blɑ̃#}
129    | #bˌɔmbet̪ˈirɛ# | #bˌũmd̪ˈir# | #bˌũn̪d̪ˈir# | #bˌũːd̪ˈir# | #bɔ̃d̪iʁ# {GOLD: #bɔ̃d̪iʁ#}
130    | #bˌɔn̪et̪ˈɑt̪ɛ# | #bˌũn̪t̪ˈeːθ# | #bˌũn̪t̪ˈe# | #bˌũːt̪ˈe# | #bɔ̃t̪e# {GOLD: #bɔ̃t̪e#}
131    | #bˌɔn̪ˈon̪ʝɑ# | #bˌũn̪ˈũɲə# | #bˌũn̪ˈũɲə# | #bˌũn̪ˈũɲə# | #bɔn̪ɔɲ# {GOLD: #bulɔɲ#}
132    | #bˌɔn̪o# | #bˌũn̪# | #bˌũn̪# | #bˌũː# | #bɔ̃# {GOLD: #bɔ̃#}
133    | #bˌɔt̪ˈɛllos# | #bˌoðˈɛɫs# | #bwˌɛjˈaws# | #bwˌɛjˈoːs# | #bwajo# {GOLD: #bwajo#}
134    | #bˌɔt̪ˈɛllo# | #bˌoðˈɛl# | #bwˌɛjˈaw# | #bwˌɛjˈoː# | #bwajo# {GOLD: #bwajo#}
135    | #bˈɔβʷɛ# | #bˈye̯f# | #bˈøf# | #bˈøf# | #bœf# {GOLD: #bœf#}
136    | #bˈɔβʷɛs# | #bˈye̯s# | #bˈøs# | #bˈøs# | #bø# {GOLD: #bø#}
137    | #brˈɑkɑ# | #brˈajə# | #brˈajə# | #brˈɛː# | #bʁɛ# {GOLD: #bʁɛ#}
138    | #brˈɑccʝɑ# | #brˈat͡sʲə# | #brˈasʲə# | #brˈasə# | #bʁɑs# {GOLD: #bʁas#}
139    | #brˈɑccʝo# | #brˈat͡sʲ# | #brˈasʲ# | #brˈas# | #bʁa# {GOLD: #bʁɑ#}
140    | #brˈɑn̪d̪o# | #brˈãn̪t̪# | #brˈãn̪t̪# | #brˈãːt̪# | #bʁɑ̃# {GOLD: #bʁɑ̃#}
141    | #brˈɑŋkɑ# | #brˈãn̪t͡ʃə# | #brˈãn̪ʃə# | #brˈãːʃə# | #bʁɑ̃ʃ# {GOLD: #bʁɑ̃ʃ#}
142    | #brˈɑsɑ# | #brˈeːzə# | #brˈezə# | #brˈezə# | #bʁɛz# {GOLD: #bʁɛz#}
143    | #brˈɛn̪n̪o# | #brˈɛ̃n̪# | #brˈãn̪# | #brˈãː# | #bʁɑ̃# {GOLD: #bʁɑ̃#}
144    | #brˈɛβʷɛ# | #brˈie̯f# | #brjˈef# | #brjˈef# | #bʁjɛf# {GOLD: #bʁɛf#}
145    | #brˈin̪o# | #brˈin̪# | #brˈĩn̪# | #brˈẽː# | #bʁɛ̃# {GOLD: #bʁɛ̃#}
146    | #brˌet̪t̪ˈɑn̪ʝɑ# | #brˌət̪ˈãɲə# | #brˌət̪ˈãɲə# | #brˌət̪ˈãɲə# | #bʁət̪aɲ# {GOLD: #bʁət̪aɲ#}
147    | #brˈɔɡlo# | #brˈye̯ʎ# | #brˈøʎ# | #brˈøʎ# | #bʁœj# {GOLD: #bʁœj#}
148    | #brˌukˈɑrʝɑ# | #brˌyjˈie̯rə# | #brˌyjjˈerə# | #brˌyjjˈerə# | #bʁyjɛʁ# {GOLD: #bʁɥijɛʁ#}
149    | #bˈokkɑ# | #bˈot͡ʃə# | #bˈuʃə# | #bˈuʃə# | #buʃ# {GOLD: #buʃ#}
150    | #bˈoxset̪ɑ# | #bˈojst̪ə# | #bwˈɛːt̪ə# | #bwˈɛːt̪ə# | #bwat̪# {GOLD: #bwat̪#}
151    | #bˈoɫɡɑ# | #bˈoɫd͡ʒə# | #bˈuʒə# | #bˈuʒə# | #buʒ# {GOLD: #buʒ#}
152    | #bˌollʝˈɛn̪t̪ɛ# | #bˌoʎˈɛ̃n̪t̪# | #bˌuʎˈãn̪t̪# | #bˌuʎˈãːt̪# | #bujɑ̃# {GOLD: #bujɑ̃#}
153    | #bˈon̪d̪ɑ# | #bˈũn̪d̪ə# | #bˈũn̪d̪ə# | #bˈũːd̪ə# | #bɔ̃d̪# {GOLD: #bɔ̃d̪#}
154    | #bˈorɡo# | #bˈork# | #bˈurk# | #bˈurk# | #buʁ# {GOLD: #buʁ#}
155    | #bˌorrʝˈon̪ɛ# | #bˌord͡ʒˈũn̪# | #bˌurʒˈũn̪# | #bˌurʒˈũː# | #buʁʒɔ̃# {GOLD: #buʁʒɔ̃#}
156    | #bˈot̪en̪ɑ# | #bˈoðn̪ə# | #bˈɔrn̪ə# | #bˈɔrn̪ə# | #bɔʁn̪# {GOLD: #bɔʁn̪#}
157    | #d̪ˈɑmo# | #d̪ˈãj̃n̪# | #d̪ˈɛ̃j̃n̪# | #d̪ˈɛ̃ː# | #d̪ɛ̃# {GOLD: #d̪ɛ̃#}
158    | #d̪ˈɑrd̪o# | #d̪ˈart̪# | #d̪ˈart̪# | #d̪ˈart̪# | #d̪aʁ# {GOLD: #d̪aʁ#}
