etID  | Input | Late Latin | Old French I | Old French II | Middle French  | Output {GOLD}
739    | #mˌɑːt̪rikulˈɑːrium# | *#mˌɑt̪rekolˈɑrʝo# | *#mˌaðrəɡiʎˈie̯r# | *#mˌarəɡiʎjˈer# | *#mˌarəɡiʎˈer# | *#maʁəɡije# {GOLD: #maʁɡije#}
740    | #mˈɑt̪t̪eɑm# | *#mˈɑt̪t͡sʲʝɑ# | *#mˈat͡sʲə# | *#mˈasʲə# | *#mˈasə# | *#mas# {GOLD: #mas#}
741    | #mˈɑt̪t̪eˈuːkɑm# | *#mˈɑt̪t͡sʲʝˈukɑ# | *#mˈat͡sʲˈyə# | *#mˈasʲˈyə# | *#mˈasˈyː# | *#masy# {GOLD: #masy#}
742    | #mˌɑːt̪ˈuːrɑm# | *#mˌɑt̪ˈurɑ# | *#mˌaðˈyrə# | *#mˌəˈyrə# | *#mə̯ˈyrə# | *#myʁ# {GOLD: #myʁ#}
743    | #mˌɑːt̪ˈuːrum# | *#mˌɑt̪ˈuro# | *#mˌaðˈyr# | *#mˌəˈyr# | *#mə̯ˈyr# | *#myʁ# {GOLD: #myʁ#}
744    | #mˌɑːt̪uːt̪ˈiːn̪um# | *#mˌɑt̪et̪ˈin̪o# | *#mˌat̪ˈin̪# | *#mˌat̪ˈĩn̪# | *#mˌat̪ˈẽː# | *#mat̪ɛ̃# {GOLD: #mat̪ɛ̃#}
745    | #meˌɑm# | *#mʝˌɑ# | *#mˌa# | *#mˌa# | *#mˌa# | *#ma# {GOLD: #ma#}
746    | #meɑːs# | *#mʝɑs# | *#mas# | *#mas# | *#mas# | *#ma# {GOLD: #me#}
747    | #meoːs# | *#mʝos# | *#mes# | *#mes# | *#mes# | *#me# {GOLD: #me#}
748    | #mˈeː# | *#mˈe# | *#mˈoj# | *#mwˈɛ# | *#mwˈɛ# | *#mwa# {GOLD: #mwa#}
749    | #mˈeum# | *#mˈɛo# | *#mˈie̯w# | *#mjˈø# | *#mjˈø# | *#mjø# {GOLD: #mjɛ̃#}
750    | #meˌum# | *#mʝˌom# | *#mˌũn̪# | *#mˌũn̪# | *#mˌũː# | *#mɔ̃# {GOLD: #mɔ̃#}
751    | #mˌed̪ˈɑːliɑ# | *#mˌɛd̪ˈɑlʝɑ# | *#mˌəðˈaʎə# | *#mˌəˈaʎə# | *#mˈaːʎə# | *#mɑj# {GOLD: #mɑj#}
752    | #mˌed̪iˈɑːn̪ɑm# | *#mˌɛʝʝˈɑn̪ɑ# | *#mˌejˈie̯n̪ə# | *#mwˌɛjˈẽn̪ə# | *#mwˌɛjˈẽn̪ə# | *#mwajɛn̪# {GOLD: #mwajɛn̪#}
753    | #mˌed̪iˈɑːn̪um# | *#mˌɛʝʝˈɑn̪o# | *#mˌejˈie̯n̪# | *#mwˌɛjˈẽn̪# | *#mwˌɛjˈẽː# | *#mwajɛ̃# {GOLD: #mwajɛ̃#}
754    | #mˌed̪iet̪ˈɑːt̪em# | *#mˌɛʝʝɛt̪ˈɑt̪ɛ# | *#mˌejt̪ˈeːθ# | *#mwˌɛt̪ˈe# | *#mwˌɛt̪ˈe# | *#mwat̪e# {GOLD: #mwat̪je#}
755    | #mˌed̪ikiːn̪ˈɑːlem# | *#mˌɛd̪ecin̪ˈɑlɛ# | *#mˈie̯t͡sʲin̪ˈie̯l# | *#mjˈesʲĩn̪jˈel# | *#mjˈesin̪jˈel# | *#mjesin̪jɛl# {GOLD: #mesin̪ɛl#}
756    | #mˈed̪ium# | *#mˈɛʝʝo# | *#mˈi# | *#mˈi# | *#mˈi# | *#mi# {GOLD: #mi#}
757    | #mˌed̪ˈullɑm# | *#mˌɛd̪ˈollɑ# | *#mˌəðˈolə# | *#mˌəˈulə# | *#mə̯ˈulə# | *#mul# {GOLD: #mwal#}
758    | #mˈel# | *#mˈɛl# | *#mˈie̯l# | *#mjˈel# | *#mjˈel# | *#mjɛl# {GOLD: #mjɛl#}
759    | #mˌeliˈoːrem# | *#mˌɛlʝˈorɛ# | *#mˌeʎˈowr# | *#mˌɛʎˈør# | *#mˌɛʎˈør# | *#mɛjœʁ# {GOLD: #mɛjœʁ#}
760    | #mˈelius# | *#mˈɛlʝos# | *#mˈie̯ɫt͡sʲ# | *#mjˈøsʲ# | *#mjˈøs# | *#mjø# {GOLD: #mjø#}
761    | #mˈembrum# | *#mˈɛmbro# | *#mˈɛ̃mbrə# | *#mˈãn̪brə# | *#mˈãːbrə# | *#mɑ̃bʁ# {GOLD: #mɑ̃bʁ#}
762    | #mˈeːn̪sɑm# | *#mˈesɑ# | *#mˈojzə# | *#mwˈɛzə# | *#mwˈɛzə# | *#mwaz# {GOLD: #mwaz#}
763    | #mˈen̪sem# | *#mˈesɛ# | *#mˈojs# | *#mwˈɛːs# | *#mwˈɛːs# | *#mwa# {GOLD: #mwa#}
764    | #mˌeːn̪sˈuːrɑm# | *#mˌesˈurɑ# | *#mˌəzˈyrə# | *#mˌəzˈyrə# | *#mˌəzˈyrə# | *#məzyʁ# {GOLD: #məzyʁ#}
765    | #mˌen̪t̪iˈoːn̪ikɑm# | *#mˌɛn̪t͡sʲʝˈon̪ekɑ# | *#mˌẽn̪t͡sʲˈũn̪d͡ʒə# | *#mˌãn̪sʲˈũn̪ʒə# | *#mˌãːsˈũːʒə# | *#mɑ̃sɔ̃ʒ# {GOLD: #mɑ̃sɔ̃ʒ#}
766    | #mˌen̪t̪it̪ˈoːrem# | *#mˌɛn̪t̪et̪ˈorɛ# | *#mˌẽn̪t̪ˈowr# | *#mˌãn̪t̪ˈør# | *#mˌãːt̪ˈør# | *#mɑ̃t̪œʁ# {GOLD: #mɑ̃t̪œʁ#}
767    | #mˌerkɑt̪ˈɑn̪t̪em# | *#mˌɛrkɑt̪ˈɑn̪t̪ɛ# | *#mˌɛrt͡ʃəðˈãn̪t̪# | *#mˌarʃəˈãn̪t̪# | *#mˌarʃə̯ˈãːt̪# | *#maʁʃɑ̃# {GOLD: #maʁʃɑ̃#}
768    | #mˌerkˈɑːt̪um# | *#mˌɛrkˈɑt̪o# | *#mˌɛrt͡ʃˈie̯θ# | *#mˌarʃjˈe# | *#mˌarʃˈe# | *#maʁʃe# {GOLD: #maʁʃe#}
769    | #mˌerkˈeːd̪em# | *#mˌɛrcˈed̪ɛ# | *#mˌɛrt͡sʲˈiθ# | *#mˌɛrsʲˈi# | *#mˌɛrsˈi# | *#mɛʁsi# {GOLD: #mɛʁsi#}
770    | #mˌerkeːn̪ˈɑːrium# | *#mˌɛrcen̪ˈɑrʝo# | *#mˌɛrt͡sʲən̪ˈie̯r# | *#mˌɛrsʲən̪jˈer# | *#mˌɛrsən̪jˈer# | *#mɛʁsən̪je# {GOLD: #mɛʁsən̪je#}
771    | #mˌessiˈoːn̪em# | *#mˌessʝˈon̪ɛ# | *#mˌejsˈũn̪# | *#mwˌɛsˈũn̪# | *#mwˌɛsˈũː# | *#mwasɔ̃# {GOLD: #mwasɔ̃#}
772    | #mˌet̪ˈipsimum# | *#mˌɛt̪ˈepsemo# | *#mˌəðˈezmə# | *#mˌəˈẽːmə# | *#mə̯ˈẽːmə# | *#mɛm# {GOLD: #mɛm#}
773    | #mˈiːlle# | *#mˈillɛ# | *#mˈil# | *#mˈil# | *#mˈil# | *#mil# {GOLD: #mil#}
774    | #mˈiːkɑm# | *#mˈikɑ# | *#mˈiə# | *#mˈiə# | *#mˈiː# | *#mi# {GOLD: #mi#}
775    | #mˈikkɑm# | *#mˈekkɑ# | *#mˈet͡ʃə# | *#mˈɛʃə# | *#mˈɛʃə# | *#mɛʃ# {GOLD: #mɛʃ#}
776    | #mˌin̪ˈɑːkiɑ# | *#mˌen̪ˈɑccʝɑ# | *#mˌən̪ˈat͡sʲə# | *#mˌən̪ˈasʲə# | *#mˌən̪ˈasə# | *#mən̪as# {GOLD: #mən̪as#}
777    | #mˌin̪uːt̪iˈɑːre# | *#mˌen̪et͡sʲʝˈɑrɛ# | *#mˌẽj̃n̪t͡sʲˈie̯r# | *#mˌɛ̃j̃n̪sʲjˈer# | *#mˌɛ̃ːsˈer# | *#mɛ̃se# {GOLD: #mɛ̃se#}
778    | #mˈiːn̪ɑm# | *#mˈin̪ɑ# | *#mˈin̪ə# | *#mˈĩn̪ə# | *#mˈin̪ə# | *#min̪# {GOLD: #min̪#}
779    | #mˌin̪ˈɑːri# | *#mˌen̪ˈɑre# | *#mˌən̪ˈeːr# | *#mˌən̪ˈer# | *#mˌən̪ˈer# | *#mən̪e# {GOLD: #mən̪e#}
780    | #mˈin̪or# | *#mˈen̪ɔr# | *#mˈojn̪d̪rə# | *#mwˈĩn̪d̪rə# | *#mwˈɛ̃ːd̪rə# | *#mwɛ̃d̪ʁ# {GOLD: #mwɛ̃d̪ʁ#}
781    | #mˈin̪us# | *#mˈen̪os# | *#mˈẽn̪s# | *#mˈãn̪s# | *#mˈãːs# | *#mɑ̃# {GOLD: #mwɛ̃#}
782    | #mˌin̪uːt̪iˈɑːre# | *#mˌen̪et͡sʲʝˈɑrɛ# | *#mˌẽj̃n̪t͡sʲˈie̯r# | *#mˌɛ̃j̃n̪sʲjˈer# | *#mˌɛ̃ːsˈer# | *#mɛ̃se# {GOLD: #mɛ̃se#}
783    | #mˌiskulˈɑːre# | *#mˌeskolˈɑrɛ# | *#mˌezlˈeːr# | *#mˌelˈer# | *#mˌelˈer# | *#mɛle# {GOLD: #mɛle#}
784    | #mˈissɑm# | *#mˈessɑ# | *#mˈesə# | *#mˈɛːsə# | *#mˈɛːsə# | *#mɛs# {GOLD: #mɛs#}
785    | #mˈissum# | *#mˈesso# | *#mˈes# | *#mˈɛːs# | *#mˈɛːs# | *#mɛ# {GOLD: #mɛ#}
786    | #mˈoːbilem# | *#mˈoβelɛ# | *#mˈowblə# | *#mˈøblə# | *#mˈøblə# | *#mœbl# {GOLD: #mœbl#}
787    | #mˌod̪iˈolum# | *#mˌɔʝʝˈɔlo# | *#mˌojˈye̯l# | *#mwˌɛjˈøl# | *#mwˌɛjˈøl# | *#mwajœl# {GOLD: #mwajø#}
788    | #mˈod̪ulum# | *#mˈɔd̪lo# | *#mˈɔɫl# | *#mˈulə# | *#mˈulə# | *#mul# {GOLD: #mul#}
789    | #mˈolɑm# | *#mˈɔlɑ# | *#mˈye̯lə# | *#mˈølə# | *#mˈølə# | *#mœl# {GOLD: #møl#}
790    | #mˌoliːn̪ˈɑːrium# | *#mˌɔlin̪ˈɑrʝo# | *#mˌɔɫn̪ˈie̯r# | *#mˌũn̪jˈer# | *#mˌũn̪jˈer# | *#mɔn̪je# {GOLD: #møn̪je#}
791    | #mˌolˈiːn̪um# | *#mˌɔlˈin̪o# | *#mˌolˈin̪# | *#mˌulˈĩn̪# | *#mˌulˈẽː# | *#mulɛ̃# {GOLD: #mulɛ̃#}
792    | #mˌolit̪ˈuːrɑm# | *#mˌɔlet̪ˈurɑ# | *#mˌɔɫt̪ˈyrə# | *#mˌut̪ˈyrə# | *#mˌut̪ˈyrə# | *#mut̪yʁ# {GOLD: #mut̪yʁ#}
793    | #mˈollem# | *#mˈɔllɛ# | *#mˈɔl# | *#mˈu# | *#mˈu# | *#mu# {GOLD: #mu#}
794    | #mˈolliːs# | *#mˈɔllis# | *#mˈɔɫs# | *#mˈuːs# | *#mˈuːs# | *#mu# {GOLD: #mu#}
795    | #mˌolliˈɑːre# | *#mˌɔllʝˈɑrɛ# | *#mˌoʎˈie̯r# | *#mˌuʎjˈer# | *#mˌuʎˈer# | *#muje# {GOLD: #muje#}
796    | #mˌon̪ˈeːt̪ɑm# | *#mˌɔn̪ˈet̪ɑ# | *#mˌũn̪ˈejðə# | *#mˌũn̪ˈajə# | *#mˌũn̪ˈɛː# | *#mɔn̪ɛ# {GOLD: #mɔn̪ɛ#}
797    | #mˌon̪t̪ˈɑːn̪eɑm# | *#mˌɔn̪t̪ˈɑn̪ʝɑ# | *#mˌũn̪t̪ˈãɲə# | *#mˌũn̪t̪ˈãɲə# | *#mˌũːt̪ˈãɲə# | *#mɔ̃t̪aɲ# {GOLD: #mɔ̃t̪aɲ#}
798    | #mˈon̪t̪em# | *#mˈɔn̪t̪ɛ# | *#mˈũn̪t̪# | *#mˈũn̪t̪# | *#mˈũːt̪# | *#mɔ̃# {GOLD: #mɔ̃#}
799    | #mˌon̪t̪ikˈellum# | *#mˌɔn̪t̪ecˈɛllo# | *#mˌũn̪t͡sʲˈɛl# | *#mˌũn̪sʲe̯ˈaw# | *#mˌũːsə̯ˈoː# | *#mɔ̃so# {GOLD: #mɔ̃so#}
800    | #mˈoːreːs# | *#mˈores# | *#mˈors# | *#mˈurs# | *#mˈurs# | *#muʁ# {GOLD: #mœʁ#}
801    | #mˌorˈiːri# | *#mˌɔrˈire# | *#mˌorˈir# | *#mˌurˈir# | *#mˌurˈir# | *#muʁiʁ# {GOLD: #muʁiʁ#}
802    | #mˈord̪ere# | *#mˈɔrd̪ɛrɛ# | *#mˈɔrd̪rə# | *#mˈɔrd̪rə# | *#mˈɔrd̪rə# | *#mɔʁd̪ʁ# {GOLD: #mɔʁd̪ʁ#}
803    | #mˈorsum# | *#mˈɔrso# | *#mˈɔrs# | *#mˈɔrs# | *#mˈɔrs# | *#mɔʁ# {GOLD: #mɔʁ#}
804    | #mˌort̪ɑːriˈolus# | *#mˌɔrt̪ɑrʝˈɔlos# | *#mˌɔrt̪ejrˈye̯ɫs# | *#mˌɔrt̪wɛrjˈøːs# | *#mˌɔrt̪wɛrjˈøːs# | *#mɔʁt̪waʁjø# {GOLD: #mɔʁt̪ʁijø#}
805    | #mˌort̪ˈɑːrium# | *#mˌɔrt̪ˈɑrʝo# | *#mˌɔrt̪ˈie̯r# | *#mˌɔrt̪jˈer# | *#mˌɔrt̪jˈer# | *#mɔʁt̪je# {GOLD: #mɔʁt̪je#}
806    | #mˈort̪em# | *#mˈɔrt̪ɛ# | *#mˈɔrt̪# | *#mˈɔrt̪# | *#mˈɔrt̪# | *#mɔʁ# {GOLD: #mɔʁ#}
807    | #mˈowit̪ɑm# | *#mˈɔβʷet̪ɑ# | *#mˈɔt̪ə# | *#mˈɔt̪ə# | *#mˈɔt̪ə# | *#mɔt̪# {GOLD: #møt̪#}
808    | #mˈuffulɑm# | *#mˈoffolɑ# | *#mˈoflə# | *#mˈuflə# | *#mˈuflə# | *#mufl# {GOLD: #mufl#}
809    | #mˈukkid̪um# | *#mˈocced̪o# | *#mˈojt̪ə# | *#mwˈɛt̪ə# | *#mwˈɛt̪ə# | *#mwat̪# {GOLD: #mwat̪#}
810    | #mˈuːlɑm# | *#mˈulɑ# | *#mˈylə# | *#mˈylə# | *#mˈylə# | *#myl# {GOLD: #myl#}
811    | #mˌult̪ˈoːn̪em# | *#mˌoɫt̪ˈon̪ɛ# | *#mˌoɫt̪ˈũn̪# | *#mˌut̪ˈũn̪# | *#mˌut̪ˈũː# | *#mut̪ɔ̃# {GOLD: #mut̪ɔ̃#}
812    | #mˈult̪um# | *#mˈoɫt̪o# | *#mˈoɫt̪# | *#mˈut̪# | *#mˈut̪# | *#mu# {GOLD: #mult̪#}
813    | #mˌuːrˈɑːliɑ# | *#mˌurˈɑlʝɑ# | *#mˌyrˈaʎə# | *#mˌyrˈaʎə# | *#mˌyrˈaʎə# | *#myʁɑj# {GOLD: #myʁɑj#}
814    | #mˌuːrikˈɑːrium# | *#mˌurekˈɑrʝo# | *#mˌyrd͡ʒˈie̯r# | *#mˌyrʒjˈer# | *#mˌyrʒˈer# | *#myʁʒe# {GOLD: #myʁʒije#}
815    | #mˈuːrum# | *#mˈuro# | *#mˈyr# | *#mˈyr# | *#mˈyr# | *#myʁ# {GOLD: #myʁ#}
816    | #mˈuskɑm# | *#mˈoskɑ# | *#mˈost͡ʃə# | *#mˈuːʃə# | *#mˈuːʃə# | *#muʃ# {GOLD: #muʃ#}
817    | #mˈuskulum# | *#mˈosklo# | *#mˈozlə# | *#mˈuːlə# | *#mˈuːlə# | *#mul# {GOLD: #mul#}
818    | #mˈust̪um# | *#mˈost̪o# | *#mˈost̪# | *#mˈuːt̪# | *#mˈuːt̪# | *#mu# {GOLD: #mu#}
819    | #mˈut̪t̪um# | *#mˈot̪t̪o# | *#mˈot̪# | *#mˈɔt̪# | *#mˈɔt̪# | *#mo# {GOLD: #mo#}
820    | #n̪ˈɑːn̪ɑm# | *#n̪ˈɑn̪ɑ# | *#n̪ˈãj̃n̪ə# | *#n̪ˈɛ̃j̃n̪ə# | *#n̪ˈɛ̃n̪ə# | *#n̪ɛn̪# {GOLD: #n̪ɛn̪#}
821    | #n̪ˈɑːn̪um# | *#n̪ˈɑn̪o# | *#n̪ˈãj̃n̪# | *#n̪ˈɛ̃j̃n̪# | *#n̪ˈɛ̃ː# | *#n̪ɛ̃# {GOLD: #n̪ɛ̃#}
822    | #n̪ˈɑːskere# | *#n̪ˈɑscɛrɛ# | *#n̪ˈajst̪rə# | *#n̪ˈɛːt̪rə# | *#n̪ˈɛːt̪rə# | *#n̪ɛt̪ʁ# {GOLD: #n̪ɛt̪ʁ#}
823    | #n̪ˈɑssɑm# | *#n̪ˈɑssɑ# | *#n̪ˈasə# | *#n̪ˈaːsə# | *#n̪ˈaːsə# | *#n̪ɑs# {GOLD: #n̪ɑs#}
824    | #n̪ˈɑːsum# | *#n̪ˈɑso# | *#n̪ˈeːs# | *#n̪ˈeːs# | *#n̪ˈeːs# | *#n̪e# {GOLD: #n̪e#}
825    | #n̪ˌɑːt̪ˈɑːlem# | *#n̪ˌɑt̪ˈɑlɛ# | *#n̪ˌaðˈeːl# | *#n̪ˌaˈel# | *#n̪ˌaˈel# | *#n̪aɛl# {GOLD: #n̪ɔɛl#}
826    | #n̪ˌɑːt̪ˈiːwɑm# | *#n̪ˌɑt̪ˈiβʷɑ# | *#n̪ˌaðˈivə# | *#n̪ˌaˈivə# | *#n̪ˌaˈivə# | *#n̪aiv# {GOLD: #n̪aiv#}
827    | #n̪ˌɑːt̪ˈiːwum# | *#n̪ˌɑt̪ˈiβʷo# | *#n̪ˌaðˈif# | *#n̪ˌaˈif# | *#n̪ˌaˈif# | *#n̪aif# {GOLD: #n̪aif#}
828    | #n̪ˈɑwd̪ɑm# | *#n̪ˈɑwd̪ɑ# | *#n̪ˈɔwðə# | *#n̪ˈuə# | *#n̪ˈuː# | *#n̪u# {GOLD: #n̪u#}
829    | #n̪ˈɑːwem# | *#n̪ˈɑβʷɛ# | *#n̪ˈeːf# | *#n̪ˈef# | *#n̪ˈef# | *#n̪ɛf# {GOLD: #n̪ɛf#}
830    | #n̪ˈɑwikɑm# | *#n̪ˈɑwkɑ# | *#n̪ˈɔwə# | *#n̪ˈuə# | *#n̪ˈuː# | *#n̪u# {GOLD: #n̪u#}
831    | #n̪ˌɑwikˈellɑm# | *#n̪ˌɑwcˈɛllɑ# | *#n̪ˌɔjzˈɛlə# | *#n̪wˌɛzˈɛlə# | *#n̪wˌɛzˈɛlə# | *#n̪wazɛl# {GOLD: #n̪asɛl#}
832    | #n̪ˈɑwseɑm# | *#n̪ˈɑwsʝɑ# | *#n̪ˈɔjzə# | *#n̪wˈɛzə# | *#n̪wˈɛzə# | *#n̪waz# {GOLD: #n̪waz#}
833    | #n̪ˈek# | *#n̪ˈɛk# | *#n̪ˈi# | *#n̪ˈi# | *#n̪ˈi# | *#n̪i# {GOLD: #n̪i#}
834    | #n̪ˌepˈoːt̪em# | *#n̪ˌɛpˈot̪ɛ# | *#n̪ˌəvˈowθ# | *#n̪ˌəvˈø# | *#n̪ˌəvˈø# | *#n̪əvø# {GOLD: #n̪əvø#}
835    | #n̪ˈept̪iɑm# | *#n̪ˈɛpt͡sʲʝɑ# | *#n̪ˈie̯t͡sʲə# | *#n̪jˈesʲə# | *#n̪jˈesə# | *#n̪jɛs# {GOLD: #n̪jɛs#}
836    | #n̪ˌept̪ˈuːn̪um# | *#n̪ˌɛpt̪ˈun̪o# | *#n̪ˌət̪ˈyn̪# | *#n̪ˌət̪ˈỹn̪# | *#n̪ˌət̪ˈỹː# | *#n̪ət̪œ̃# {GOLD: #lyt̪ɛ̃#}
837    | #n̪ˈerwum# | *#n̪ˈɛrβʷo# | *#n̪ˈɛrf# | *#n̪ˈɛrf# | *#n̪ˈɛrf# | *#n̪ɛʁf# {GOLD: #n̪ɛʁf#}
838    | #n̪ˈiːd̪um# | *#n̪ˈid̪o# | *#n̪ˈiθ# | *#n̪ˈi# | *#n̪ˈi# | *#n̪i# {GOLD: #n̪i#}
839    | #n̪ˈiɡrum# | *#n̪ˈeɣro# | *#n̪ˈejr# | *#n̪wˈɛr# | *#n̪wˈɛr# | *#n̪waʁ# {GOLD: #n̪waʁ#}
840    | #n̪ˈit̪id̪ɑm# | *#n̪ˈet̪ed̪ɑ# | *#n̪ˈet̪ə# | *#n̪ˈɛt̪ə# | *#n̪ˈɛt̪ə# | *#n̪ɛt̪# {GOLD: #n̪ɛt̪#}
841    | #n̪ˈit̪id̪um# | *#n̪ˈet̪ed̪o# | *#n̪ˈet̪# | *#n̪ˈet̪# | *#n̪ˈet̪# | *#n̪e# {GOLD: #n̪ɛt̪#}
842    | #n̪ˌoːd̪ˈɑːre# | *#n̪ˌod̪ˈɑrɛ# | *#n̪ˌoðˈeːr# | *#n̪ˌuˈer# | *#n̪ˌuˈer# | *#n̪we# {GOLD: #n̪we#}
843    | #n̪ˌoːd̪ˈoːsoːs# | *#n̪ˌod̪ˈosos# | *#n̪ˌoðˈows# | *#n̪ˌuˈøːs# | *#n̪ˌuˈøːs# | *#n̪wø# {GOLD: #n̪wø#}
844    | #n̪ˈoːd̪um# | *#n̪ˈod̪o# | *#n̪ˈowθ# | *#n̪ˈø# | *#n̪ˈø# | *#n̪ø# {GOLD: #n̪ø#}
845    | #n̪ˈokt̪em# | *#n̪ˈɔxt̪ɛ# | *#n̪ˈyjt̪# | *#n̪ɥˈit̪# | *#n̪ɥˈit̪# | *#n̪ɥi# {GOLD: #n̪ɥi#}
846    | #n̪ˈoːmen̪# | *#n̪ˈomɛ# | *#n̪ˈũn̪# | *#n̪ˈũn̪# | *#n̪ˈũː# | *#n̪ɔ̃# {GOLD: #n̪ɔ̃#}
847    | #n̪ˈoːn̪# | *#n̪ˈon̪# | *#n̪ˈũn̪# | *#n̪ˈũn̪# | *#n̪ˈũː# | *#n̪ɔ̃# {GOLD: #n̪ɔ̃#}
848    | #n̪oːn̪# | *#n̪o# | *#n̪ə# | *#n̪ə# | *#n̪ə# | *#n̪ə# {GOLD: #n̪ə#}
849    | #n̪ˌoːn̪ˈɑːn̪t̪ɑ# | *#n̪ˌon̪ˈɑn̪t̪ɑ# | *#n̪ˌũn̪ˈãn̪t̪ə# | *#n̪ˌũn̪ˈãn̪t̪ə# | *#n̪ˌũn̪ˈãːt̪ə# | *#n̪ɔn̪ɑ̃t̪# {GOLD: #n̪on̪ɑ̃t̪#}
850    | #n̪ˈon̪n̪ɑm# | *#n̪ˈɔn̪n̪ɑ# | *#n̪ˈũn̪ə# | *#n̪ˈũn̪ə# | *#n̪ˈũn̪ə# | *#n̪ɔn̪# {GOLD: #n̪ɔn̪#}
851    | #n̪ˈopt̪iɑm# | *#n̪ˈɔpt͡sʲʝɑ# | *#n̪ˈɔt͡sʲə# | *#n̪ˈɔsʲə# | *#n̪ˈɔsə# | *#n̪ɔs# {GOLD: #n̪ɔs#}
852    | #n̪ˌoːs# | *#n̪ˌos# | *#n̪ˌos# | *#n̪ˌus# | *#n̪ˌus# | *#n̪u# {GOLD: #n̪u#}
853    | #n̪ˈost̪rɑm# | *#n̪ˈɔst̪rɑ# | *#n̪ˈɔst̪rə# | *#n̪ˈɔːt̪rə# | *#n̪ˈɔt̪rə# | *#n̪ɔt̪ʁ# {GOLD: #n̪ɔt̪ʁ#}
854    | #n̪ˈost̪rum# | *#n̪ˈɔst̪ro# | *#n̪ˈɔst̪rə# | *#n̪ˈɔːt̪rə# | *#n̪ˈɔt̪rə# | *#n̪ɔt̪ʁ# {GOLD: #n̪ɔt̪ʁ#}
855    | #n̪ˌowˈellɑm# | *#n̪ˌɔβʷˈɛllɑ# | *#n̪ˌovˈɛlə# | *#n̪ˌuvˈɛlə# | *#n̪ˌuvˈɛlə# | *#n̪uvɛl# {GOLD: #n̪uvɛl#}
856    | #n̪ˌowˈellum# | *#n̪ˌɔβʷˈɛllo# | *#n̪ˌovˈɛl# | *#n̪ˌuve̯ˈaw# | *#n̪ˌuvə̯ˈoː# | *#n̪uvo# {GOLD: #n̪uvo#}
857    | #n̪ˈowem# | *#n̪ˈɔβʷɛ# | *#n̪ˈye̯f# | *#n̪ˈøf# | *#n̪ˈøf# | *#n̪œf# {GOLD: #n̪œf#}
858    | #n̪ˈuːbɑm# | *#n̪ˈuβɑ# | *#n̪ˈyə# | *#n̪ˈyə# | *#n̪ˈyː# | *#n̪y# {GOLD: #n̪y#}
859    | #n̪ˈuːd̪ɑm# | *#n̪ˈud̪ɑ# | *#n̪ˈyðə# | *#n̪ˈyə# | *#n̪ˈyː# | *#n̪y# {GOLD: #n̪y#}
860    | #n̪ˈuːd̪um# | *#n̪ˈud̪o# | *#n̪ˈyθ# | *#n̪ˈy# | *#n̪ˈy# | *#n̪y# {GOLD: #n̪y#}
861    | #n̪ˈukem# | *#n̪ˈocɛ# | *#n̪ˈojt͡sʲ# | *#n̪wˈɛsʲ# | *#n̪wˈɛs# | *#n̪wa# {GOLD: #n̪wa#}
862    | #n̪ˈuːllɑm# | *#n̪ˈullɑ# | *#n̪ˈylə# | *#n̪ˈylə# | *#n̪ˈylə# | *#n̪yl# {GOLD: #n̪yl#}
863    | #n̪ˈuːllɑːs# | *#n̪ˈullɑs# | *#n̪ˈyləs# | *#n̪ˈyləs# | *#n̪ˈylə# | *#n̪yl# {GOLD: #n̪yl#}
864    | #n̪ˈuːlloːs# | *#n̪ˈullos# | *#n̪ˈyɫs# | *#n̪ˈyːs# | *#n̪ˈyːs# | *#n̪y# {GOLD: #n̪y#}
865    | #n̪ˈuːllum# | *#n̪ˈullo# | *#n̪ˈyl# | *#n̪ˈyl# | *#n̪ˈyl# | *#n̪yl# {GOLD: #n̪yl#}
866    | #n̪ˈumerum# | *#n̪ˈomɛro# | *#n̪ˈũmbrə# | *#n̪ˈũn̪brə# | *#n̪ˈũːbrə# | *#n̪ɔ̃bʁ# {GOLD: #n̪ɔ̃bʁ#}
867    | #n̪ˌut̪rˈiːkiɑ# | *#n̪ˌot̪rˈiccʝɑ# | *#n̪ˌoðrˈit͡sʲə# | *#n̪ˌurˈisʲə# | *#n̪ˌurˈisə# | *#n̪uʁis# {GOLD: #n̪uʁis#}
868    | #n̪ˌut̪rˈiːt̪iˈoːn̪em# | *#n̪ˌot̪rˈit͡sʲʝˈon̪ɛ# | *#n̪ˌoðrˈizˈũn̪# | *#n̪ˌurˈizˈũn̪# | *#n̪ˌurˈizˈũː# | *#n̪uʁizɔ̃# {GOLD: #n̪uʁisɔ̃#}
869    | #ˌoblˈiːkwum# | *#ˌɔβlˈiko# | *#ˌoblˈi# | *#ˌublˈi# | *#ˌublˈi# | *#ubli# {GOLD: #bəlif#}
870    | #ˌoblˌiːt̪ˈɑːre# | *#ˌɔβlˌit̪ˈɑrɛ# | *#ˌoblˌiðˈeːr# | *#ˌublˌiˈer# | *#ˌublˌiˈer# | *#ublje# {GOLD: #ublije#}
871    | #ˌossifrˈɑːɡɑm# | *#ˌɔssefrˈɑɣɑ# | *#ˌɔzfrˈajə# | *#ˌɔfrˈajə# | *#ˌɔfrˈɛː# | *#ɔfʁɛ# {GOLD: #ɔʁfʁɛ#}
