etID  | Input | Late Latin | Old French I | Old French II | Middle French  | Output {GOLD}
35     | #ˌɑlbiːn̪iˈɑːkum# | *#ˌɑɫbin̪ʝˈɑko# | *#ˌaɫbiɲˈi# | *#ˌawbĩɲˈi# | *#ˌoːbiɲˈi# | *#obiɲi# {GOLD: #obiɲi#}
36     | #ˈɑlid̪sˌiːk# | *#ˈɑlessˌik# | *#ˈaɫsˌi# | *#ˈawsˌi# | *#ˈoːsˌi# | *#osi# {GOLD: #osi#}
37     | #ˌɑlˈiːsiɑm# | *#ˌɑlˈisʝɑ# | *#ˌalˈizə# | *#ˌalˈizə# | *#ˌalˈizə# | *#aliz# {GOLD: #aliz#}
38     | #ˈɑllioːs# | *#ˈɑllʝos# | *#ˈaɫt͡sʲ# | *#ˈawsʲ# | *#ˈoːs# | *#o# {GOLD: #o#}
39     | #ˈɑllium# | *#ˈɑllʝo# | *#ˈaʎ# | *#ˈaʎ# | *#ˈaʎ# | *#aj# {GOLD: #aj#}
40     | #ˌɑlkˈuːn̪ɑm# | *#ˌɑɫkˈun̪ɑ# | *#ˌaɫkˈyn̪ə# | *#ˌawkˈỹn̪ə# | *#ˌoːkˈyn̪ə# | *#okyn̪# {GOLD: #okyn̪#}
41     | #ˌɑlkˈuːn̪um# | *#ˌɑɫkˈun̪o# | *#ˌaɫkˈyn̪# | *#ˌawkˈỹn̪# | *#ˌoːkˈỹː# | *#okœ̃# {GOLD: #okœ̃#}
42     | #ˌɑlt̪ˈɑn̪t̪um# | *#ˌɑɫt̪ˈɑn̪t̪o# | *#ˌaɫt̪ˈãn̪t̪# | *#ˌawt̪ˈãn̪t̪# | *#ˌoːt̪ˈãːt̪# | *#ot̪ɑ̃# {GOLD: #ot̪ɑ̃#}
43     | #ˈɑlt̪erum# | *#ˈɑɫt̪ɛro# | *#ˈaɫt̪rə# | *#ˈawt̪rə# | *#ˈoːt̪rə# | *#ɔt̪ʁ# {GOLD: #ot̪ʁ#}
44     | #ˌɑkerˈɑːbulum# | *#ˌɑkɛrˈɑβlo# | *#ˌajrʲˈie̯blə# | *#ˌɛrʲjˈeblə# | *#ˌɛrˈeblə# | *#ɛʁɛbl# {GOLD: #eʁabl#}
45     | #ˌɑkˈeːtum# | *#ˌɑcˈeto# | *#ˌajd͡zʲˈi?# | *#ˌɛzʲˈi?# | *#ˌɛzˈi?# | *#ɛzi# {GOLD: #ɛzi#}
46     | #ˌɑkiˈɑːrium# | *#ˌɑccʝˈɑrʝo# | *#ˌat͡sʲˈie̯r# | *#ˌasʲjˈer# | *#ˌasˈer# | *#ase# {GOLD: #asje#}
47     | #ˈɑkin̪um# | *#ˈɑcen̪o# | *#ˈãj̃n̪ə# | *#ˈɛ̃j̃n̪ə# | *#ˈɛ̃n̪ə# | *#ɛn̪# {GOLD: #ɛn̪#}
48     | #ˌɑkkˌollˈiɡere# | *#ˌɑkkˌɔllˈeɣrɛ# | *#ˌakˌɔlˈejr# | *#ˌakˌɔlwˈɛr# | *#ˌakˌɔlwˈɛr# | *#akɔlwaʁ# {GOLD: #akœjiʁ#}
49     | #ˌɑkkˌord̪ˈɑːre# | *#ˌɑkkˌɔrd̪ˈɑrɛ# | *#ˌakˌɔrd̪ˈeːr# | *#ˌakˌɔrd̪ˈer# | *#ˌakˌɔrd̪ˈer# | *#akɔʁd̪e# {GOLD: #akɔʁd̪e#}
50     | #ˌɑkrˈoːrem# | *#ˌɑkrˈorɛ# | *#ˌajrˈowr# | *#ˌɛrˈør# | *#ˌɛrˈør# | *#ɛʁœʁ# {GOLD: #ɛɡʁœʁ#}
